id	type	l1	l2	friction	risk	count	acc	
1	FAST	1	2	0.02151630826214646	0.0	0	60.010107534630485	
2	FAST	1	3	0.027987052819351734	0.0	0	49.465597049600554	
3	FAST	1	4	0.07302656972007415	0.0	0	17.32412605072539	
4	FAST	1	5	0.10800269310982086	0.0	3	11.071780441745355	
5	FAST	1	6	0.2005826597473596	0.0	4	5.377110086606524	
6	FAST	1	7	0.05791240055316788	0.0	0	31.20723625125621	
7	FAST	1	8	0.06855335822514483	0.0	0	20.47556145527461	
8	FAST	1	68	0.36490858423453987	0.048	2	6.112627738129127	
9	FAST	1	69	0.40115801759656244	0.048	1	4.797837998067499	
10	FAST	1	70	0.423550267947518	0.048	3	4.4659687174949045	
11	FAST	1	71	0.44235053412726005	0.048	1	3.6357654534144976	
12	FAST	1	72	0.28733633203502157	0.0	0	5.917257199901716	
13	FAST	1	73	0.1906077266698771	0.0	0	17.449659267900554	
14	FAST	1	74	0.20210142113627694	0.0	0	10.18374855754482	
15	FAST	1	75	0.2630703980821981	0.0	0	8.580697036293572	
16	FAST	1	76	0.3008008736105855	0.0	0	6.015664760210316	
17	FAST	1	77	0.3450902934942693	0.0	0	4.452088981356894	
18	FAST	1	78	0.36284036573475764	0.0	0	3.789412659409216	
19	FAST	2	3	0.007516752227496343	0.0	2	175.6305054709536	
20	FAST	2	4	0.05255626523813813	0.0	1	24.504461018558274	
21	FAST	2	5	0.08753238084772358	0.0	5	13.781742993740874	
22	FAST	2	6	0.18130277439888826	0.0	5	6.211247777013263	
23	FAST	2	7	0.06458409111532147	0.0	0	22.16380274906193	
24	FAST	2	8	0.04808305763328943	0.0	3	28.51840624380261	
25	FAST	2	23	0.24993272053144797	0.0	72	4.44286063806151	
26	FAST	2	68	0.36470401260312413	0.048	6	6.916392885439922	
27	FAST	2	69	0.391780317504476	0.048	61	4.66985004451653	
28	FAST	2	70	0.4257275325971185	0.048	15	3.4699815024134675	
29	FAST	2	71	0.43263050137245695	0.048	0	3.9881833001052307	
30	FAST	2	72	0.3002858035948819	0.0	0	4.591148043144922	
31	FAST	2	73	0.2035572098999793	0.0	0	11.925928211772503	
32	FAST	2	74	0.21505090436637914	0.0	0	8.43216002912532	
33	FAST	2	75	0.2760198696420584	0.0	0	7.3533259940034	
34	FAST	2	76	0.3137503451704458	0.0	0	6.457587048842325	
35	FAST	2	77	0.3580397650541296	0.0	0	3.7583129895471745	
36	FAST	3	4	0.04596140765847902	0.0	1	29.42814561045428	
37	FAST	3	5	0.08093752715814509	0.0	6	14.973260111829044	
38	FAST	3	6	0.18231210638901338	0.0	5	6.39224104025744	
39	FAST	3	7	0.06852057262560743	0.0	0	20.632491364279147	
40	FAST	3	8	0.04148820394371095	0.0	1	33.591051071253354	
41	FAST	3	23	0.253869190371492	0.0	45	4.369533132409626	
42	FAST	3	68	0.3624783762095865	0.048	8	6.105455897077305	
43	FAST	3	69	0.3866275625916361	0.048	31	6.277282103147943	
44	FAST	3	70	0.424054534998753	0.048	19	3.932726453023345	
45	FAST	3	71	0.42731742112785376	0.048	1	3.3109450527261224	
46	FAST	3	72	0.30422229677540974	0.0	0	5.277801814687536	
47	FAST	3	73	0.20749369141026527	0.0	0	10.963086825156967	
48	FAST	3	74	0.2189873742064232	0.0	0	7.72841059224712	
49	FAST	3	75	0.27995636282258624	0.0	1	7.753765479494983	
50	FAST	3	76	0.3176868383509737	0.0	0	6.207789396354526	
51	FAST	3	77	0.36197625823465746	0.0	0	4.58307623075658	
52	FAST	4	5	0.03612179881582182	0.0	1	37.2196011694843	
53	FAST	4	6	0.131309053093839	0.0	2	9.183443286936651	
54	FAST	4	7	0.11268187659387058	0.0	0	12.680046962061787	
55	FAST	4	8	0.007503043583361338	0.0	2	250.2115693263115	
56	FAST	4	9	0.19906910328632327	0.0	27	6.00695482666636	
57	FAST	4	23	0.20219244902298494	0.0	3	5.234515155958076	
58	FAST	4	24	0.1883962275027891	0.0	23	5.684963015016418	
59	FAST	4	68	0.38518730849483807	0.048	3	4.453737948490763	
60	FAST	4	69	0.38862564188147486	0.048	42	4.738003695414953	
61	FAST	4	71	0.42626530464684514	0.048	7	3.545070638151056	
62	FAST	4	73	0.25165497981820595	0.0	0	8.30438940432446	
63	FAST	4	74	0.26314868595484764	0.0	0	4.727012588926184	
64	FAST	4	75	0.32411765123052694	0.0	0	5.6044786790904	
65	FAST	4	76	0.36184812675891437	0.0	0	4.449178498566834	
66	FAST	5	6	0.09695465406038882	0.0	3	15.65228641174695	
