id	x	y	type	qual	N	n_links	count	acc	
1	0.5290865972208558	0.08782825570975693	STD	0.13784369937731955	0	18	0	0.8409198270797537	
2	0.5301822646847826	0.10720123054485474	STD	0.016918507670600214	0	18	0	0.7191031577158308	
3	0.5333754021576235	0.11316317727647134	STD	0.004389375991098898	0	18	0	0.7221744886697601	
4	0.5228257638719125	0.1527978029111725	STD	0.752161833750471	0	17	0	0.9166081676092578	
5	0.5110057050013014	0.18322738970304364	STD	0.4619176187753278	0	19	361	0.9605311881490741	
6	0.46055093200691144	0.23803676739353677	STD	0.5226401075547487	0	15	0	0.8227243900895969	
7	0.49049816672070146	0.0769888854245772	STD	0.49866878599748565	0	16	0	0.9343087149690475	
8	0.5243639373822653	0.14811813155714765	STD	0.41789005003354096	0	18	0	0.9592843746516679	
9	0.4372574223741947	0.2995079543610299	STD	0.17346194035858375	0	16	0	0.7752679781656858	
10	0.41937970228563354	0.33373740205414487	STD	0.5425834782021672	0	15	0	0.9481757031320417	
11	0.4998163145722239	0.3654513890156738	STD	0.20424201505539652	0	15	0	0.8554282536515516	
12	0.515877597084288	0.3934792280858458	STD	0.46870395818066957	0	12	0	0.9379485028196458	
13	0.527761674424959	0.4273044524055435	STD	0.6081161781213908	0	11	0	0.9620759911846537	
14	0.5279485391483765	0.45960239084181165	STD	0.0564774917692632	0	12	0	0.7721262790340674	
15	0.5178388115657108	0.47324318956320754	STD	0.6610949679697251	0	12	0	0.9540276629085315	
16	0.4983862803694047	0.5086814241359012	STD	0.2188599319134319	0	11	0	0.8747005804101622	
17	0.19045354636733625	0.002995199780724391	STD	0.38221723127027674	0	4	0	0.9468515454210993	
18	0.260845314655781	0.09852695010641736	STD	0.4372002109332904	0	7	0	0.9323836332128798	
19	0.23158108780837086	0.14021317238405023	STD	0.5303089644665797	0	8	0	0.9465468973855157	
20	0.2801200648305022	0.15889412442380177	STD	0.0769011208025614	0	8	0	0.7680782877970559	
21	0.23191891500510464	0.15860984189908572	STD	0.17994366638710724	0	8	0	0.8848452161434349	
22	0.24223756772992455	0.18442460012929646	STD	0.526299266420573	0	7	0	0.7681140690119592	
23	0.368004880062751	0.2085094845428714	STD	0.37346984369264313	0	17	0	0.8341706345837698	
24	0.3719839740227433	0.2215652327591495	STD	0.24824101257429843	0	17	0	0.9158407317373637	
25	0.3455553328417463	0.2744769879628167	STD	0.5888777946303736	0	15	362	0.9346400228033352	
26	0.44093575929207557	0.3712978642887976	STD	0.8206400489357548	0	15	0	0.9701604521706586	
27	0.36967671375721445	0.41015518237073767	STD	0.5929854707775728	0	14	0	0.8310116879138154	
28	0.1573274485692997	0.4835700453482871	STD	0.703036437865528	1	3	75	0.9493799390479207	
29	0.36716528647906305	0.4179604961228007	STD	0.4827683250933119	0	13	0	0.8945930031157914	
30	0.22100419841716157	0.4019146525885682	STD	0.5484703884056792	2	6	365	0.9555011266831439	
31	0.47787268628758284	0.5480021666943438	STD	0.654365067283857	0	11	0	0.8809260987755321	
32	0.46676331894608003	0.6284350713290916	STD	0.9432811258856315	0	7	0	0.7181567216177398	
33	0.4608416104655608	0.7277137825604496	STD	0.6322951519293709	0	7	0	0.9787736656869829	
34	0.4626107695368043	0.8130296791693479	STD	0.23923853007535123	3	15	315	0.9590659381278178	
35	0.41096732927400903	0.7751332799821633	STD	0.5838698773701174	0	12	31	0.9689165438151641	
36	0.28631860993830643	0.7727157794916976	STD	0.9481571027688702	0	9	98	0.9596440397507926	
37	0.2593266062207844	0.7914395937162324	STD	0.8805099018790485	4	8	380	0.9789645067264252	
38	0.22221233076092273	0.8261440423391756	STD	0.6917380400162647	0	9	456	0.9594867366806445	
39	0.1527652674630883	0.8358499459600879	STD	0.901735134377476	43	10	2549	0.9734870226513237	
40	0.28962421229098206	0.869035900942634	STD	0.35527516811692106	0	11	1474	0.9714036510674885	
41	0.3153375768362312	0.8870629299068465	STD	0.7131459028867351	11	11	3133	0.9834232588869892	
42	0.38914135655596416	0.9106268739207488	STD	0.1963122673347819	0	13	17	0.9625002401745884	
