id	type	l1	l2	friction	risk	count	acc	
1	FAST	1	2	0.02151630826214646	0.0	0	65.50507430799317	
2	FAST	1	3	0.027987052819351734	0.0	0	50.54216026144059	
3	FAST	1	4	0.07302656972007415	0.0	0	19.08447646225558	
4	FAST	1	5	0.10800269310982086	0.0	0	11.318911781367186	
5	FAST	1	6	0.2005826597473596	0.0	0	5.561917104263261	
6	FAST	1	7	0.05791240055316788	0.0	0	31.203641756216797	
7	FAST	1	8	0.06855335822514483	0.0	0	19.804705074511627	
8	FAST	1	68	0.36490858423453987	0.048	0	7.253793485851899	
9	FAST	1	69	0.40115801759656244	0.048	0	5.029405236507259	
10	FAST	1	70	0.423550267947518	0.048	0	3.8048287488084713	
11	FAST	1	71	0.44235053412726005	0.048	0	3.560614926327474	
12	FAST	1	72	0.28733633203502157	0.0	0	5.581471166430016	
13	FAST	1	73	0.1906077266698771	0.0	0	18.429767932780017	
14	FAST	1	74	0.20210142113627694	0.0	0	10.001318602057205	
15	FAST	1	75	0.2630703980821981	0.0	0	8.894063946499	
16	FAST	1	76	0.3008008736105855	0.0	0	6.886211357550088	
17	FAST	1	77	0.3450902934942693	0.0	0	4.6453294689651	
18	FAST	1	78	0.36284036573475764	0.0	0	4.133354187407513	
19	FAST	2	3	0.007516752227496343	0.0	0	196.48183444847047	
20	FAST	2	4	0.05255626523813813	0.0	0	27.995590945556806	
21	FAST	2	5	0.08753238084772358	0.0	0	14.988362650027385	
22	FAST	2	6	0.18130277439888826	0.0	0	6.5748851991108515	
23	FAST	2	7	0.06458409111532147	0.0	0	24.683273486471727	
24	FAST	2	8	0.04808305763328943	0.0	0	31.244416401457748	
25	FAST	2	23	0.24993272053144797	0.0	1	4.512525073533603	
26	FAST	2	68	0.36470401260312413	0.048	0	7.281684252054035	
27	FAST	2	69	0.391780317504476	0.048	0	5.216016331920881	
28	FAST	2	70	0.4257275325971185	0.048	0	4.0188010010071595	
29	FAST	2	71	0.43263050137245695	0.048	1	4.159178388102252	
30	FAST	2	72	0.3002858035948819	0.0	0	5.587219414699562	
31	FAST	2	73	0.2035572098999793	0.0	0	13.12371422649462	
32	FAST	2	74	0.21505090436637914	0.0	0	8.42278356562	
33	FAST	2	75	0.2760198696420584	0.0	0	8.157090440960076	
34	FAST	2	76	0.3137503451704458	0.0	0	6.411532449468238	
35	FAST	2	77	0.3580397650541296	0.0	0	4.480401999518865	
36	FAST	3	4	0.04596140765847902	0.0	0	29.66662208742218	
37	FAST	3	5	0.08093752715814509	0.0	0	16.264421152692112	
38	FAST	3	6	0.18231210638901338	0.0	0	6.922290137628871	
39	FAST	3	7	0.06852057262560743	0.0	0	20.89414261706896	
40	FAST	3	8	0.04148820394371095	0.0	0	34.722062012783816	
41	FAST	3	23	0.253869190371492	0.0	121	4.510559596125999	
42	FAST	3	68	0.3624783762095865	0.048	6	6.843479845095469	
43	FAST	3	69	0.3866275625916361	0.048	7	5.950705047219672	
44	FAST	3	70	0.424054534998753	0.048	38	4.163203941932956	
45	FAST	3	71	0.42731742112785376	0.048	70	4.1398099476824095	
46	FAST	3	72	0.30422229677540974	0.0	0	5.119870006412589	
47	FAST	3	73	0.20749369141026527	0.0	0	13.48852744375464	
48	FAST	3	74	0.2189873742064232	0.0	0	8.407478128187138	
49	FAST	3	75	0.27995636282258624	0.0	0	8.043428849826485	
50	FAST	3	76	0.3176868383509737	0.0	0	6.716634363642429	
51	FAST	3	77	0.36197625823465746	0.0	0	4.55178797526715	
52	FAST	4	5	0.03612179881582182	0.0	0	39.355565496819544	
53	FAST	4	6	0.131309053093839	0.0	0	10.660480412273227	
54	FAST	4	7	0.11268187659387058	0.0	0	13.453654190175161	
55	FAST	4	8	0.007503043583361338	0.0	0	259.0816076144259	
56	FAST	4	9	0.19906910328632327	0.0	15	5.866188765446879	
57	FAST	4	23	0.20219244902298494	0.0	2	6.105783215166964	
58	FAST	4	24	0.1883962275027891	0.0	10	5.795987032080933	
