id	type	l1	l2	friction	risk	count	acc	
1	FAST	1	2	0.02151630826214646	0.0	0	54.107551474735324	
2	FAST	1	3	0.027987052819351734	0.0	0	34.877424191172935	
3	FAST	1	4	0.07302656972007415	0.0	0	13.511846799503006	
4	FAST	1	5	0.10800269310982086	0.0	15	7.911721917536989	
5	FAST	1	6	0.2005826597473596	0.0	3	4.007004859927085	
6	FAST	1	7	0.05791240055316788	0.0	7	21.789921934878883	
7	FAST	1	8	0.06855335822514483	0.0	0	13.284625270156367	
8	FAST	1	68	0.36490858423453987	0.048	7	3.276716818602648	
9	FAST	1	69	0.40115801759656244	0.048	2	2.3335218066532892	
10	FAST	1	70	0.423550267947518	0.048	4	1.5568626988063237	
11	FAST	1	71	0.44235053412726005	0.048	10	1.368742060169536	
12	FAST	1	72	0.28733633203502157	0.0	0	3.839713277855304	
13	FAST	1	73	0.1906077266698771	0.0	0	12.27838680951111	
14	FAST	1	74	0.20210142113627694	0.0	0	6.5847146143949775	
15	FAST	1	75	0.2630703980821981	0.0	0	5.344745475255245	
16	FAST	1	76	0.3008008736105855	0.0	0	4.72423384757651	
17	FAST	1	77	0.3450902934942693	0.0	0	3.129835970501826	
18	FAST	1	78	0.36284036573475764	0.0	0	2.730536693014651	
19	FAST	2	3	0.007516752227496343	0.0	0	148.91055325006204	
20	FAST	2	4	0.05255626523813813	0.0	0	21.19392066192094	
21	FAST	2	5	0.08753238084772358	0.0	12	10.535471830827419	
22	FAST	2	6	0.18130277439888826	0.0	19	4.579743010990745	
23	FAST	2	7	0.06458409111532147	0.0	8	18.222395869511185	
24	FAST	2	8	0.04808305763328943	0.0	0	21.686903959305262	
25	FAST	2	23	0.24993272053144797	0.0	290	2.8489863647250133	
26	FAST	2	68	0.36470401260312413	0.048	22	3.1033734930522816	
27	FAST	2	69	0.391780317504476	0.048	41	2.0352261971609447	
28	FAST	2	70	0.4257275325971185	0.048	47	1.45865991352113	
29	FAST	2	71	0.43263050137245695	0.048	218	1.2212045760402712	
30	FAST	2	72	0.3002858035948819	0.0	0	3.3405435407340534	
31	FAST	2	73	0.2035572098999793	0.0	0	8.948351405004038	
32	FAST	2	74	0.21505090436637914	0.0	0	5.6833397159960635	
33	FAST	2	75	0.2760198696420584	0.0	0	5.255744746472474	
34	FAST	2	76	0.3137503451704458	0.0	0	4.20489107242614	
35	FAST	2	77	0.3580397650541296	0.0	0	2.615207644652491	
36	FAST	3	4	0.04596140765847902	0.0	0	21.3992534926798	
37	FAST	3	5	0.08093752715814509	0.0	13	12.087715158937325	
38	FAST	3	6	0.18231210638901338	0.0	3	4.961156233638931	
39	FAST	3	7	0.06852057262560743	0.0	4	13.181923975583658	
