corr_c	corr_c_e	
0.9836299276240824	0.9957737163097142
0.9800371811822824	0.9971285581001137
0.9889417641266873	0.9989107575554853
0.9605415999150319	0.9910633600679447
0.9453310405622999	0.9250523129216744
0.9258952727991601	0.8819832621939634
0.9971945187924323	0.998978364829924
0.9967378842157064	0.997677608988261
0.9968204896197705	0.9994483766225831
0.9841264868782781	0.9960308587080232
0.9805087417920386	0.9917000894459329
0.9882774341468009	0.9933580625875067
0.9868166259272851	0.9951500858371847
0.9809998840792864	0.9861679432471002
0.9867939436915548	0.9966128245842796
0.9651172329873554	0.9441874849091817
0.9070596985882463	0.7413654982243792
0.8547549666623683	0.5194819847381118
0.9968486060340125	0.9989371441216786
0.9961288548808397	0.9989358650588482
0.9966194699373723	0.9993386890222032
0.9852929564654284	0.9920441445621643
0.9841570638928919	0.990967610703752
0.9739189087992306	0.9790125177885852
0.9840853468128814	0.9974757349165443
0.9745766000273228	0.9947723757779052
0.9870128799375512	0.9986410994979271
0.9605209125984029	0.993152854204978
0.9459783633647232	0.9124587966477306
0.922731195274484	0.8757683988377005
0.9968776181582721	0.9983764292730996
0.995865500781656	0.9957950115524954
0.9963229956401999	0.9990095677428451
0.9826474740964561	0.9962646581035033
0.9802408497406384	0.9925097772907094
0.9871261313794871	0.9943573473349995
0.9849588793774998	0.9945565086157849
0.9801759518805305	0.9869533716073376
0.9887141815121656	0.9953575799475264
0.9667419467653476	0.94755217517477
0.9194323436545432	0.7603326425723088
0.8656076311753156	0.5487297648362761
0.9970930429670252	0.9983385684705238
0.9959670020315828	0.997189460315046
0.9967904974113738	0.9997147977132539
0.9843063890192035	0.9892402658781541
0.9822424876549288	0.9896933030120256
0.9719801083846866	0.9717333023383833
