mean_link_c	stdd_link_c	rstdd_link_c
30.699627560521414	78.35499126553364	2.552310809343344
31.362569832402233	76.93560896193088	2.453102834782527
31.204469273743015	80.11302721985477	2.5673574678376547
23.350837988826814	99.18208346767491	4.247474266882102
22.908193668528863	95.80083851012759	4.181946420408441
23.206890130353816	107.10370924658064	4.615168540247134
28.385474860335197	88.81018122733965	3.1287192363105287
28.67094972067039	89.8700988908027	3.134535122358037
28.759217877094972	91.56584057659408	3.18387798193639
23.132774674115456	91.65460922805116	3.962110491250692
23.210614525139665	88.56499738798705	3.8157110098080924
23.28026070763501	89.53349347185825	3.8458973718664065
31.1707635009311	83.78584085591376	2.687962418803473
30.78510242085661	77.41154928071244	2.514578260043951
31.316387337057726	84.69415295727767	2.704467537896884
23.305772811918064	112.81146938787	4.84049468336792
23.46610800744879	109.57140833375458	4.669347311406459
23.065176908752328	87.49210771216407	3.7932554368990883
29.1512104283054	89.14932843132594	3.0581690132758
29.316201117318435	89.59158910640588	3.0560436104212694
29.04953445065177	90.14110213783707	3.1030136572744498
23.829795158286778	92.84803385690147	3.896300125123555
23.296275605214152	91.70536122409618	3.936481641021227
23.571322160148977	92.60285285047277	3.928623613953758
31.17932960893855	78.45065204575839	2.5161109308542673
31.1707635009311	75.54305339817815	2.4235227153137138
31.477839851024207	81.1635925201739	2.5784359061580604
23.08491620111732	97.18645950828204	4.209955048638131
22.797206703910614	95.1203726691713	4.172457349910962
22.991620111731844	105.42416664157334	4.58533005196006
28.796461824953447	89.03821950200329	3.0919847043447404
28.543947858472997	87.7827646492972	3.0753547156315917
28.52271880819367	89.23459398518054	3.1285444625827985
23.390130353817504	93.43717771500815	3.994726677517565
23.09459962756052	89.0480249291718	3.855794270748219
23.148230912476723	89.16665991552298	3.8519859358869115
31.397206703910616	84.20296254138046	2.6818615851865806
31.34469273743017	78.56763072082431	2.5065688593272766
31.700186219739294	86.00925732099135	2.7132098444088792
22.91359404096834	110.73178580062819	4.832580415042939
23.59068901303538	108.5295512777491	4.6005248603709505
23.771694599627562	90.99925200896398	3.8280506939707064
29.27858472998138	88.50286952092078	3.022785094878357
28.981750465549347	87.63738830719636	3.0238818187110907
29.01415270018622	89.24280607579185	3.075837057796248
23.807635009310985	91.76438027692167	3.854409740448109
23.11489757914339	91.00748375134275	3.937178758406395
23.683240223463688	92.37424205076523	3.9004055686285417
