rstdd_cap	rstdd_n_loc	rstdd_n_link	rstdd_n_contacts	rstdd_n_steps	rstdd_freq_plan	rstdd_acc_c	rstdd_acc_l	rstdd_n_plan	rstdd_acc_c_m	rstdd_acc_l_m	rstdd_n_loc_m	rstdd_n_link_m	rstdd_count	rstdd_traffic	rstdd_N	
0.0	0.02301920302965253	0.18960900883996928	0.4104976388787513	0.2620231971638748	0.10840757326960543	0.0024777848094161667	0.039117131861171106	1.0018422160193614	0.04177448113923009	0.15189851377860997	0.36322162818238135	0.8029036901514258	1.7142663378622562	NaN	1.8802356544529242	
0.0	0.02021979639630022	0.18051949778978033	0.41272531245596844	0.273278504971735	0.10336895634075814	0.00258281711472506	0.03799390611090309	1.0082184606419071	0.03676221636547245	0.15037241257872985	0.3347395717413997	0.7579381261570076	1.6977357113269844	NaN	1.9347155953727069	
0.0	0.02250210810246604	0.18169169391255077	0.4323848959197233	0.2704470191654184	0.10111463993737344	0.0025568069787494535	0.04038744107507802	0.9672090972137022	0.039845963451960516	0.15253618674737984	0.34196101256750655	0.7636694152548166	1.7580416365236133	NaN	1.9441758524886557	
0.0	0.00929055906241986	0.03580598777274139	0.5790102647884137	0.13985997380378715	0.053563470710276055	0.0009883453750786043	0.01661156166103728	0.7449924157923871	0.021497053777077786	0.0726940128918968	0.25106880683742777	0.4422332848590751	1.8853444391765082	NaN	2.054712751680117	
0.0	0.003745519965465774	0.022275308678691902	0.5293103276136167	0.13316768303521434	0.05108815915808936	0.001136022125820608	0.01639500680161213	0.6945964357128152	0.015245626785426424	0.06117624251836964	0.2520833373006988	0.442379740286691	1.816533364272506	NaN	2.0827719701832352	
0.0	0.00628779082557639	0.026410342533724675	0.5380529974797267	0.1374854663328576	0.051952990549353595	0.0011879365136895589	0.018454162024532	0.7070553756858825	0.02500170498828212	0.0809798706313752	0.23973751864147463	0.4474998679357715	1.9469878357057482	NaN	2.263317163448057	
0.0	0.07121637329486946	0.2289138621478872	0.46772241515602847	0.20141616324718692	0.07266047498095587	0.006113391509929917	0.04150060679028252	0.8716626132368303	0.025499796963209344	0.08423085367135565	0.2984596725921347	0.4501173903456073	1.7110630543832475	NaN	1.8785281432283352	
0.0	0.06651635819896208	0.218433554442462	0.46291815176237844	0.1990119908736985	0.07634693027168907	0.005463153697192411	0.04255299056155169	0.8195832264709656	0.02450894202521413	0.0802203312253599	0.2766098929973772	0.4412635577691502	1.7031917543558044	NaN	1.7766282008023886	
0.0	0.06532068310707521	0.22131419975723235	0.45042945743832624	0.20055392107645148	0.0761172897824193	0.005619422987330425	0.040936979418739826	0.8401285072117685	0.025357967371030896	0.07977266740036278	0.2998152616702843	0.5163252372618417	1.7437122609643012	NaN	1.872520540791563	
0.0	0.011816218116882141	0.04173985244165966	0.564916377421006	0.14824732143281658	0.04585129955176209	0.0015905422529740039	0.01356538958716536	0.711008042977897	0.014264207580001353	0.036368274473261235	0.20520893891522857	0.3792696784022148	1.5927998113978774	NaN	2.021385216458077	
0.0	0.01025219334265581	0.0411067980236495	0.5553745423862495	0.14844147870715976	0.047695233687520475	0.0014871143609707367	0.013321967568171044	0.6775248695262287	0.014806536426474027	0.036422200848583317	0.1976833500688844	0.3615712424005949	1.624627183420962	NaN	2.147369378244177	
0.0	0.008846506762195573	0.03470079372508816	0.5617960668513298	0.1430887098037148	0.04815946278242354	0.0012292572544080759	0.01401462784479508	0.7159342087373539	0.015354580767150721	0.03886821769255689	0.20639742746965117	0.3791999898175827	1.5495550424748703	NaN	2.0300167084723735	
