mean_cap	var_cap	max_cap	min_cap	mean_n_loc	var_n_loc	max_n_loc	min_n_loc	mean_n_link	var_n_link	max_n_link	min_n_link	mean_n_contacts	var_n_contacts	max_n_contacts	min_n_contacts	mean_n_steps	var_n_steps	max_n_steps	min_n_steps	mean_freq_plan	var_freq_plan	max_freq_plan	min_freq_plan	mean_acc_c	var_acc_c	max_acc_c	min_acc_c	mean_acc_l	var_acc_l	max_acc_l	min_acc_l	mean_n_plan	var_n_plan	max_n_plan	min_n_plan	mean_acc_c_m	var_acc_c_m	max_acc_c_m	min_acc_c_m	mean_acc_l_m	var_acc_l_m	max_acc_l_m	min_acc_l_m	mean_n_loc_m	var_n_loc_m	max_n_loc_m	min_n_loc_m	mean_n_link_m	var_n_link_m	max_n_link_m	min_n_link_m	mean_count	var_count	max_count	min_count	mean_traffic	var_traffic	max_traffic	min_traffic	mean_N	var_N	max_N	min_N	n_migrants	n_arrived	n_dead	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7	0.23333333333333328	1.0	0.0	0.9599308388815775	0.0011573774414526856	1.0	0.8749426865118051	0.9943268533725609	6.44371873177205e-5	1.0	0.9777960079399464	12.2	9.066666666666656	16.0	6.0	15.0	27.11111111111111	22.0	6.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.10843373493975904	0.26858654128709963	4.0	0.0	10	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7142857142857143	0.21428571428571433	1.0	0.0	0.9566425461997132	0.0007013159944051495	1.0	0.898086486915872	0.9740111262153691	0.0017677832305858844	1.0118044749416466	0.8493840491879933	14.0	17.2	21.0	7.0	14.19047619047619	22.36190476190477	22.0	7.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.1686746987951807	0.5321774904496033	4.0	0.0	21	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.9555555555555556	0.6343434343434343	5.0	0.0	0.9410785404043358	0.0005268262090411081	0.9882981014813184	0.9034115389347913	0.9332832792808089	0.026397372606353997	1.6259913416952854	0.5881640573530769	21.511111111111113	96.8010101010101	49.0	7.0	18.533333333333335	117.84545454545456	61.0	4.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.3373493975903614	1.7140758154569498	7.0	0.0	45	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	1.1515151515151516	1.2382284382284383	6.0	0.0	0.9260825516754421	0.0003928510782019911	0.9919038897954349	0.892184428246987	1.1069200256691356	0.20960894323517346	4.097736703989748	0.6612230851479277	40.984848484848484	297.0305361305361	69.0	7.0	39.84848484848485	523.8228438228438	103.0	5.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.39759036144578314	1.70584778136938	6.0	0.0	66	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	2.3563218390804597	3.673883988238439	7.0	0.0	0.9246493393102888	0.0002450511807715992	1.0	0.8787176996377377	1.5452638628499746	0.20798498622155542	2.775549123485403	0.7496593369854989	66.57471264367815	301.5495856722802	83.0	10.0	111.65517241379311	3404.089013632717	225.0	6.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.3614457831325301	1.160446664707611	7.0	0.0	87	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	2.936936936936937	3.6778050778050773	7.0	0.0	0.9319073597335108	0.00023096279298303297	1.0	0.9016957243980563	2.037010625787794	0.2553942680464843	3.629872077072118	0.9242715642412099	75.17117117117117	216.3795249795245	83.0	9.0	202.3153153153153	8017.545126945128	358.0	6.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.4939759036144578	2.131060828680576	7.0	0.0	111	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.3	3.7465116279069766	8.0	0.0	0.9428363401628796	0.00016809759347545194	1.0	0.9028140513949874	2.433600248352797	0.21681673954181532	4.256814751607942	0.9886324800752095	78.85384615384615	184.3118067978531	83.0	5.0	335.96153846153845	11221.634168157427	429.0	5.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.4819277108433735	1.667352336173964	6.0	0.0	130	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.46	2.800402684563758	7.0	0.0	0.9457264105633997	0.00011188752695993907	0.9786715106388298	0.8869100679702129	2.529149652322005	0.10836593747380399	4.256814751607942	0.9836708197699456	81.18	58.349932885906135	83.0	13.0	398.93333333333334	7166.076062639812	450.0	14.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.5060240963855421	1.9603291213635028	7.0	0.0	150	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.6358381502890174	2.849173275977954	10.0	0.0	0.9479185564643975	7.361435119137664e-5	0.9584003058357098	0.9108414014582571	2.619224642042959	0.07393581854007131	3.7865583397257776	1.0	81.57225433526011	47.339225702378954	83.0	8.0	427.8959537572254	5145.605390509482	465.0	12.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.6265060240963856	2.8222156920364383	8.0	0.0	173	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.542105263157895	2.4400167084377604	8.0	0.0	0.950388899091145	4.687877514039842e-5	0.9818048646448478	0.9182546377009994	2.684144458445014	0.06677351513491173	3.4056903566777303	1.0	81.88947368421053	58.21523252575875	83.0	10.0	447.18947368421055	3456.461264271782	472.0	13.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7469879518072289	3.8010578900969727	10.0	0.0	190	0	0	
