id	type	l1	l2	friction	risk	count	acc	
1	FAST	1	2	0.02151630826214646	0.0	0	79.78054061644639	
2	FAST	1	3	0.027987052819351734	0.0	0	60.57604802059651	
3	FAST	1	4	0.07302656972007415	0.0	0	22.187949005093742	
4	FAST	1	5	0.10800269310982086	0.0	0	14.062703554950874	
5	FAST	1	6	0.2005826597473596	0.0	1	7.241222044183822	
6	FAST	1	7	0.05791240055316788	0.0	0	36.636996472573415	
7	FAST	1	8	0.06855335822514483	0.0	0	23.28914563795652	
8	FAST	1	68	0.36490858423453987	0.048	0	9.294699658396748	
9	FAST	1	69	0.40115801759656244	0.048	1	6.522870385164505	
10	FAST	1	70	0.423550267947518	0.048	0	5.728140115111034	
11	FAST	1	71	0.44235053412726005	0.048	0	4.6180426876885035	
12	FAST	1	72	0.28733633203502157	0.0	0	7.5762516747475726	
13	FAST	1	73	0.1906077266698771	0.0	0	21.711438463999716	
14	FAST	1	74	0.20210142113627694	0.0	0	13.363868742146998	
15	FAST	1	75	0.2630703980821981	0.0	0	11.55786478791194	
16	FAST	1	76	0.3008008736105855	0.0	0	8.627694729256337	
17	FAST	1	77	0.3450902934942693	0.0	0	6.474247270020923	
18	FAST	1	78	0.36284036573475764	0.0	0	5.2686709259399604	
19	FAST	2	3	0.007516752227496343	0.0	0	234.2693221007978	
20	FAST	2	4	0.05255626523813813	0.0	0	33.01729457611762	
21	FAST	2	5	0.08753238084772358	0.0	0	17.776538365797546	
22	FAST	2	6	0.18130277439888826	0.0	0	8.47214305785114	
23	FAST	2	7	0.06458409111532147	0.0	0	28.862954821521697	
24	FAST	2	8	0.04808305763328943	0.0	0	36.328720668459596	
25	FAST	2	23	0.24993272053144797	0.0	13	5.8763464356250426	
26	FAST	2	68	0.36470401260312413	0.048	0	8.856221370260762	
27	FAST	2	69	0.391780317504476	0.048	13	7.103370858305765	
28	FAST	2	70	0.4257275325971185	0.048	0	5.570031558058351	
29	FAST	2	71	0.43263050137245695	0.048	0	5.029419744066714	
30	FAST	2	72	0.3002858035948819	0.0	0	6.690861144390789	
31	FAST	2	73	0.2035572098999793	0.0	0	17.098101345887844	
32	FAST	2	74	0.21505090436637914	0.0	0	10.184267760495638	
33	FAST	2	75	0.2760198696420584	0.0	0	10.1190328509544	
34	FAST	2	76	0.3137503451704458	0.0	0	8.030399599329591	
35	FAST	2	77	0.3580397650541296	0.0	0	5.601392067005657	
36	FAST	3	4	0.04596140765847902	0.0	0	36.57771766237116	
37	FAST	3	5	0.08093752715814509	0.0	0	18.375496475065457	
