id	x	y	type	qual	N	n_links	count	acc	
1	0.5290865972208558	0.08782825570975693	STD	0.2601578050703621	0	18	0	0.899749565388141	
2	0.5301822646847826	0.10720123054485474	STD	0.6410921097746993	0	18	2	0.9581312171083541	
3	0.5333754021576235	0.11316317727647134	STD	0.7719562799399384	0	18	1	0.8653091543624211	
4	0.5228257638719125	0.1527978029111725	STD	0.42107663330280953	0	17	9	0.9426203177679784	
5	0.5110057050013014	0.18322738970304364	STD	0.14844427157097395	1	19	291	0.8698491613237374	
6	0.46055093200691144	0.23803676739353677	STD	0.5940169434522744	0	15	0	0.9485537548269559	
7	0.49049816672070146	0.0769888854245772	STD	0.6793682437826674	0	16	110	0.9519322590650546	
8	0.5243639373822653	0.14811813155714765	STD	0.8396305886315387	0	18	925	0.9499871609809994	
9	0.4372574223741947	0.2995079543610299	STD	0.9783383423578218	0	16	25	0.8091195119637322	
10	0.41937970228563354	0.33373740205414487	STD	0.20121080628043386	0	15	0	0.8604621675459772	
11	0.4998163145722239	0.3654513890156738	STD	0.8725254439963235	0	15	0	0.9674936965505138	
12	0.515877597084288	0.3934792280858458	STD	0.013038096392613774	0	12	0	0.7463217827526654	
13	0.527761674424959	0.4273044524055435	STD	0.4873612025587497	0	11	0	0.913535957518606	
14	0.5279485391483765	0.45960239084181165	STD	0.36604448971413506	0	12	0	0.8802749086512902	
15	0.5178388115657108	0.47324318956320754	STD	0.3704976890995324	0	12	0	0.9173984261754341	
16	0.4983862803694047	0.5086814241359012	STD	0.3254429609893317	0	11	0	0.8878806525531466	
17	0.19045354636733625	0.002995199780724391	STD	0.5727956018037472	0	5	54	0.9462071314690298	
18	0.260845314655781	0.09852695010641736	STD	0.5898109090023584	5	8	397	0.9753131059209657	
19	0.23158108780837086	0.14021317238405023	STD	0.8200761467107662	19	9	620	0.9720313359749917	
20	0.2801200648305022	0.15889412442380177	STD	0.8010370930703941	0	8	24	0.8674381533112577	
21	0.23191891500510464	0.15860984189908572	STD	0.40660168090822024	0	8	3	0.967227068896921	
22	0.24223756772992455	0.18442460012929646	STD	0.12064319733322004	0	7	0	0.8930158249118336	
23	0.368004880062751	0.2085094845428714	STD	0.17727962822712273	0	17	3	0.9211032585548707	
24	0.3719839740227433	0.2215652327591495	STD	0.9840517278693062	0	17	1023	0.9237732799974523	
25	0.3455553328417463	0.2744769879628167	STD	0.6805319374567778	2	15	292	0.9712126999675076	
26	0.44093575929207557	0.3712978642887976	STD	0.34414682045294387	0	15	0	0.7909735018572478	
27	0.36967671375721445	0.41015518237073767	STD	0.673613501102106	0	14	26	0.9454759412679148	
28	0.1573274485692997	0.4835700453482871	STD	0.2645767875193836	0	3	87	0.9140094762140213	
29	0.36716528647906305	0.4179604961228007	STD	0.21931324583122014	0	13	4	0.7637257690920357	
30	0.22100419841716157	0.4019146525885682	STD	0.3577971140129763	1	5	327	0.8929985428364888	
31	0.47787268628758284	0.5480021666943438	STD	0.1816805244684625	0	11	0	0.869188245396957	
32	0.46676331894608003	0.6284350713290916	STD	0.038180001136846276	0	7	0	0.7857151935148854	
33	0.4608416104655608	0.7277137825604496	STD	0.8785330321859499	0	7	0	0.9096581623147374	
34	0.4626107695368043	0.8130296791693479	STD	0.11114957543103166	0	15	11	0.8702434320163142	
35	0.41096732927400903	0.7751332799821633	STD	0.7910145780675588	5	12	324	0.9738656885861036	
36	0.28631860993830643	0.7727157794916976	STD	0.13364559566170975	0	9	4	0.9378092975410419	
37	0.2593266062207844	0.7914395937162324	STD	0.49419965089865525	0	9	774	0.9097967322202302	
38	0.22221233076092273	0.8261440423391756	STD	0.25434953223736967	11	9	845	0.9692970159294997	
39	0.1527652674630883	0.8358499459600879	STD	0.6730014361176786	28	9	2202	0.9785698385703262	
40	0.28962421229098206	0.869035900942634	STD	0.3803523448124384	0	9	73	0.9716268716292112	
41	0.3153375768362312	0.8870629299068465	STD	0.7465035982407826	2	11	3351	0.954165452014139	
42	0.38914135655596416	0.9106268739207488	STD	0.025610637630987254	0	13	10	0.8523398597318159	
43	0.48046327153884866	0.8968259831074697	STD	0.9985102466885107	2	13	3323	0.9224958633056257	
44	0.49826819224557845	0.9044854921625778	STD	0.9201045295422403	1	14	399	0.9679333340786868	
45	0.530170585639569	0.9121028717198222	STD	0.3927668397996755	0	15	12	0.9549525290956072	
46	0.4847793275811146	0.9204492747618408	STD	0.44697290355691655	0	10	0	0.9687828491376062	
47	0.5764771347969846	0.9306369200322399	STD	0.07678612574943999	0	15	0	0.8272222127948993	
48	0.6001695919630531	0.9436531031548717	STD	0.04264830135479181	0	15	0	0.8168149590728931	
49	0.5600944622629316	0.9598293649607524	STD	0.07663323016425072	0	13	0	0.7294132461688078	
50	0.676757136993029	0.9547977108106617	STD	0.2503501776137851	0	12	0	0.9140243192578372	
51	0.7136194046106153	0.9998054959685726	STD	0.4948644475136823	0	9	0	0.9220398886335458	
52	0.7111205214921377	0.9245728367440629	STD	0.41917750721152136	0	11	0	0.8808737943611284	
53	0.7026486286056469	0.8985914288740412	STD	0.5381066027278925	0	13	0	0.9583127045671649	
54	0.6841337084613773	0.8734880730081942	STD	0.8665928870611876	0	15	0	0.7633843787323991	
55	0.7487391586823343	0.8203755982229649	STD	0.9010067170945324	0	12	0	0.9659654178401428	
56	0.6913128608098928	0.8026145346104842	STD	0.6116102463133992	0	18	0	0.8691816311241984	
57	0.7062995413951377	0.7555676817559628	STD	0.6713743749805139	0	15	0	0.97254435876619	
58	0.6946833467470882	0.6969819624143379	STD	0.28082633701735404	0	14	0	0.8736185081327441	
