id	type	l1	l2	friction	risk	count	acc	
1	FAST	1	2	0.02151630826214646	0.0	0	68.93027503094717	
2	FAST	1	3	0.027987052819351734	0.0	0	50.599010027892575	
3	FAST	1	4	0.07302656972007415	0.0	0	18.674900795770153	
4	FAST	1	5	0.10800269310982086	0.0	0	11.754464995307165	
5	FAST	1	6	0.2005826597473596	0.0	0	6.535332898356308	
6	FAST	1	7	0.05791240055316788	0.0	0	31.003604859507405	
7	FAST	1	8	0.06855335822514483	0.0	0	20.276924611756275	
8	FAST	1	68	0.36490858423453987	0.048	0	7.195690290550055	
9	FAST	1	69	0.40115801759656244	0.048	0	5.084112537347563	
10	FAST	1	70	0.423550267947518	0.048	0	4.51290630767422	
11	FAST	1	71	0.44235053412726005	0.048	0	3.659489003411652	
12	FAST	1	72	0.28733633203502157	0.0	0	6.1428905975408865	
13	FAST	1	73	0.1906077266698771	0.0	0	18.690931088037562	
14	FAST	1	74	0.20210142113627694	0.0	0	10.031985404021519	
15	FAST	1	75	0.2630703980821981	0.0	0	9.534197086521141	
16	FAST	1	76	0.3008008736105855	0.0	0	7.613363738598995	
17	FAST	1	77	0.3450902934942693	0.0	0	5.363347997540322	
18	FAST	1	78	0.36284036573475764	0.0	0	5.819815537537212	
19	FAST	2	3	0.007516752227496343	0.0	0	207.28574035470095	
20	FAST	2	4	0.05255626523813813	0.0	0	27.334038971605025	
21	FAST	2	5	0.08753238084772358	0.0	0	14.852273924828808	
22	FAST	2	6	0.18130277439888826	0.0	0	6.8916843286545255	
23	FAST	2	7	0.06458409111532147	0.0	0	25.034026548395435	
24	FAST	2	8	0.04808305763328943	0.0	0	30.91247075758815	
25	FAST	2	23	0.24993272053144797	0.0	373	4.574867562918461	
26	FAST	2	68	0.36470401260312413	0.048	6	7.715384892802809	
27	FAST	2	69	0.391780317504476	0.048	120	5.329480254707223	
28	FAST	2	70	0.4257275325971185	0.048	2	4.289606706975976	
29	FAST	2	71	0.43263050137245695	0.048	245	3.606400885312933	
30	FAST	2	72	0.3002858035948819	0.0	0	5.919514772859331	
31	FAST	2	73	0.2035572098999793	0.0	0	14.077993435228045	
32	FAST	2	74	0.21505090436637914	0.0	0	8.625458781409147	
33	FAST	2	75	0.2760198696420584	0.0	0	8.231602976132237	
34	FAST	2	76	0.3137503451704458	0.0	0	6.884900582716621	
35	FAST	2	77	0.3580397650541296	0.0	0	5.068925611229388	
36	FAST	3	4	0.04596140765847902	0.0	0	31.91136044466078	
37	FAST	3	5	0.08093752715814509	0.0	0	16.23996803057816	
38	FAST	3	6	0.18231210638901338	0.0	0	6.99218528442498	
39	FAST	3	7	0.06852057262560743	0.0	0	22.978720130637267	
40	FAST	3	8	0.04148820394371095	0.0	0	36.217284489368126	
41	FAST	3	23	0.253869190371492	0.0	428	4.172323791149566	
42	FAST	3	68	0.3624783762095865	0.048	29	7.590996200465044	
43	FAST	3	69	0.3866275625916361	0.048	36	6.106763948521013	
44	FAST	3	70	0.424054534998753	0.048	8	3.8472240233984576	
45	FAST	3	71	0.42731742112785376	0.048	354	3.725171287242667	
46	FAST	3	72	0.30422229677540974	0.0	0	5.44825287629805	
47	FAST	3	73	0.20749369141026527	0.0	0	13.860204328077582	
48	FAST	3	74	0.2189873742064232	0.0	0	9.004655855126789	
49	FAST	3	75	0.27995636282258624	0.0	0	7.867176895671891	
50	FAST	3	76	0.3176868383509737	0.0	0	6.69251419746965	
51	FAST	3	77	0.36197625823465746	0.0	0	4.84294074040727	
52	FAST	4	5	0.03612179881582182	0.0	0	39.730521754871184	
53	FAST	4	6	0.131309053093839	0.0	0	11.113432723360297	
54	FAST	4	7	0.11268187659387058	0.0	0	14.414567394034	
55	FAST	4	8	0.007503043583361338	0.0	0	276.4022798996175	
56	FAST	4	9	0.19906910328632327	0.0	8	5.855951381809458	
57	FAST	4	23	0.20219244902298494	0.0	1	5.956826290303534	
58	FAST	4	24	0.1883962275027891	0.0	4	6.204858185855179	
59	FAST	4	68	0.38518730849483807	0.048	1	6.5254977883611005	
60	FAST	4	69	0.38862564188147486	0.048	3	5.75538185197176	
61	FAST	4	71	0.42626530464684514	0.048	9	4.117118748674292	
62	FAST	4	73	0.25165497981820595	0.0	0	8.576545482293222	
63	FAST	4	74	0.26314868595484764	0.0	0	6.089069009572768	
64	FAST	4	75	0.32411765123052694	0.0	0	5.8486416686864	
65	FAST	4	76	0.36184812675891437	0.0	0	5.081270821695567	
66	FAST	5	6	0.09695465406038882	0.0	0	15.876321559090677	
67	FAST	5	7	0.1480079633072034	0.0	0	10.583174788550982	
68	FAST	5	8	0.04282913807685543	0.0	0	37.41762394760997	
69	FAST	5	9	0.1647147042528731	0.0	15	7.459592417378141	
70	FAST	5	10	0.20580158024837855	0.0	6	5.745489319502802	
71	FAST	5	11	0.315176425388388	0.0	6	4.564898636016945	
72	FAST	5	23	0.1678380499895348	0.0	8	7.010162558442311	
73	FAST	5	24	0.1540418323594195	0.0	7	7.861830058629845	
74	FAST	5	25	0.21818540685428356	0.0	1382	3.275382757834819	
75	FAST	5	68	0.41072317596004826	0.048	26	4.797180885897861	
76	FAST	5	69	0.4016265693558544	0.048	299	4.29974663826344	
77	FAST	5	71	0.4354848530175842	0.048	1095	2.6760467132444723	
78	FAST	5	73	0.2869810937621032	0.0	0	5.873263734770641	
79	FAST	5	74	0.2984747765582611	0.0	0	4.471576020340116	
80	FAST	5	75	0.3594437418339404	0.0	0	4.4612582931950024	
81	FAST	6	7	0.22348282140222536	0.0	0	5.998317032102385	
82	FAST	6	8	0.1367366608602571	0.0	0	9.543583767871446	
83	FAST	6	9	0.07023925303818712	0.0	0	18.871058448264318	
84	FAST	6	10	0.11132612125353132	0.0	0	11.020667753412592	
85	FAST	6	11	0.2207009547232989	0.0	0	7.427700547489135	
86	FAST	6	12	0.25762382228263525	0.0	0	6.407068036488684	
87	FAST	6	23	0.1142018866986697	0.0	0	12.254700819194019	
88	FAST	6	24	0.1001154807239066	0.0	0	13.137948894290446	
89	FAST	6	25	0.16454923189317652	0.0	0	8.8454311369067	
90	FAST	6	26	0.15947391760864105	0.0	0	8.148572668601782	
91	FAST	7	8	0.10798518774699241	0.0	0	15.686000460485287	
92	FAST	7	23	0.2485729428477388	0.0	0	5.179747009280719	
93	FAST	7	24	0.2631165461086946	0.0	0	5.053473020164428	
94	FAST	7	68	0.40415430617655823	0.048	0	5.12469216366437	
95	FAST	7	69	0.4403988038214797	0.048	0	3.907106486056503	
96	FAST	7	72	0.25068690991330783	0.0	0	5.128099522116172	
97	FAST	7	73	0.15395831621840525	0.0	0	14.705924383237262	
98	FAST	7	74	0.16545201068480506	0.0	0	9.358943174479574	
99	FAST	7	75	0.22642097596048436	0.0	0	7.359381783778826	
100	FAST	7	76	0.26415145148887176	0.0	0	6.230271390865118	
101	FAST	8	9	0.20593583471103105	0.0	85	5.287786945658591	
102	FAST	8	23	0.20905918044769273	0.0	10	5.939114182273422	
103	FAST	8	24	0.19526296281757746	0.0	52	5.967002238558105	
104	FAST	8	68	0.381788758681206	0.048	5	6.333707630538647	
105	FAST	8	69	0.3874760334580042	0.048	27	5.912708180508776	
106	FAST	8	71	0.4256121061407696	0.048	115	3.8085620703617624	
107	FAST	8	72	0.34401116178742613	0.0	0	4.276312088425586	
108	FAST	8	73	0.2472825797627654	0.0	0	8.38645920070395	
109	FAST	8	74	0.25877625866884274	0.0	0	6.357624595033389	
110	FAST	8	75	0.3197452278346027	0.0	0	6.100493372890161	
111	FAST	8	76	0.3574757033629901	0.0	0	4.905906254296993	
112	FAST	9	10	0.042910483552879006	0.0	0	33.70724867463817	
113	FAST	9	11	0.15228532869288847	0.0	0	12.534913954812884	
114	FAST	9	12	0.18920818458198294	0.0	0	8.68054462742307	
115	FAST	9	13	0.22995744825989792	0.0	0	6.523617461345811	
116	FAST	9	14	0.25331769753086336	0.0	0	4.899937031058024	
117	FAST	9	15	0.24757465090643752	0.0	0	4.71188133827828	
118	FAST	9	23	0.17921559053844677	0.0	0	9.06701229093046	
119	FAST	9	24	0.16512918067360308	0.0	0	11.061865651877953	
120	FAST	9	25	0.17977600333395677	0.0	0	11.21547787871064	
121	FAST	9	26	0.09105827990798876	0.0	0	17.105878526186338	
