id	x	y	type	qual	N	n_links	count	acc	
1	0.5290865972208558	0.08782825570975693	STD	0.9263476328493578	0	18	1	0.9181056424130586	
2	0.5301822646847826	0.10720123054485474	STD	0.6279474916806924	0	18	1801	0.9737766848293906	
3	0.5333754021576235	0.11316317727647134	STD	0.5958568113663745	0	18	34	0.9520550762248964	
4	0.5228257638719125	0.1527978029111725	STD	0.24425478210058582	0	17	6	0.9644013999017866	
5	0.5110057050013014	0.18322738970304364	STD	0.3644059328136495	4	19	246	0.974245832331337	
6	0.46055093200691144	0.23803676739353677	STD	0.35813679916776664	0	15	1	0.9739783780325764	
7	0.49049816672070146	0.0769888854245772	STD	0.6539918582830209	0	16	960	0.9582394334889398	
8	0.5243639373822653	0.14811813155714765	STD	0.5922903895470184	0	18	76	0.9697822356778117	
9	0.4372574223741947	0.2995079543610299	STD	0.44864003276221953	0	16	26	0.9116927979055383	
10	0.41937970228563354	0.33373740205414487	STD	0.7110863304073898	0	15	30	0.9773339117710851	
11	0.4998163145722239	0.3654513890156738	STD	0.6608696324637018	0	15	9	0.9750113574332707	
12	0.515877597084288	0.3934792280858458	STD	0.9041909219172792	0	12	1	0.878523132308405	
13	0.527761674424959	0.4273044524055435	STD	0.22115414613257944	0	11	0	0.8983212897569703	
14	0.5279485391483765	0.45960239084181165	STD	0.45984012002929053	0	12	0	0.9099393550881998	
15	0.5178388115657108	0.47324318956320754	STD	0.42387688005099355	0	12	0	0.9344211785718182	
16	0.4983862803694047	0.5086814241359012	STD	0.8765751862688387	0	11	0	0.9669130585986896	
17	0.19045354636733625	0.002995199780724391	STD	0.7744009146410888	1	5	39	0.9681375152103688	
18	0.260845314655781	0.09852695010641736	STD	0.2181550198182467	0	7	1	0.965319384095242	
19	0.23158108780837086	0.14021317238405023	STD	0.4388476296857342	12	10	662	0.975305472707147	
20	0.2801200648305022	0.15889412442380177	STD	0.2944686628590696	0	8	3	0.9716220271513809	
21	0.23191891500510464	0.15860984189908572	STD	0.7562246185388615	0	10	1151	0.9713821023733241	
22	0.24223756772992455	0.18442460012929646	STD	0.526196989924673	1	9	1175	0.9735329045995584	
23	0.368004880062751	0.2085094845428714	STD	0.24310407018593905	22	17	1896	0.9732274677092501	
24	0.3719839740227433	0.2215652327591495	STD	0.422337500079639	13	17	1047	0.9744110941978067	
25	0.3455553328417463	0.2744769879628167	STD	0.004488159811815162	0	15	155	0.8899111815496109	
26	0.44093575929207557	0.3712978642887976	STD	0.280565176883139	0	15	0	0.9600023827688112	
27	0.36967671375721445	0.41015518237073767	STD	0.5295896220503489	0	14	14	0.8831261542547532	
28	0.1573274485692997	0.4835700453482871	STD	0.4441240189006377	0	3	78	0.9066356430620007	
29	0.36716528647906305	0.4179604961228007	STD	0.9940820267931134	0	13	54	0.8633223401493729	
30	0.22100419841716157	0.4019146525885682	STD	0.7131074816120062	0	5	203	0.7435919351161624	
31	0.47787268628758284	0.5480021666943438	STD	0.5231327625543609	0	11	0	0.8316733188703582	
32	0.46676331894608003	0.6284350713290916	STD	0.29271044038893157	0	7	0	0.9077213581770731	
33	0.4608416104655608	0.7277137825604496	STD	0.36021341721965494	0	7	0	0.9486794601429023	
34	0.4626107695368043	0.8130296791693479	STD	0.9708712134839623	0	15	1690	0.9218387465060124	
35	0.41096732927400903	0.7751332799821633	STD	0.9164860408232851	0	12	183	0.944251857766495	
36	0.28631860993830643	0.7727157794916976	STD	0.09697869704636086	0	9	22	0.875016021380153	
37	0.2593266062207844	0.7914395937162324	STD	0.6554725555692684	7	8	388	0.9596205392675139	
38	0.22221233076092273	0.8261440423391756	STD	0.8465740155051702	14	8	910	0.96999688101213	
39	0.1527652674630883	0.8358499459600879	STD	0.6997877249022533	1	7	660	0.941686908316189	
40	0.28962421229098206	0.869035900942634	STD	0.7215902022370306	2	9	1653	0.9552544137945552	
41	0.3153375768362312	0.8870629299068465	STD	0.38564454780775437	0	11	64	0.9532178551598124	
42	0.38914135655596416	0.9106268739207488	STD	0.2562144239213542	0	13	2	0.9414180995186168	
43	0.48046327153884866	0.8968259831074697	STD	0.7781444747300013	2	13	148	0.9684735236134808	
44	0.49826819224557845	0.9044854921625778	STD	0.8623492630635168	0	14	59	0.9533369686196137	
45	0.530170585639569	0.9121028717198222	STD	0.8311832364276883	0	15	23	0.8030895435092908	
46	0.4847793275811146	0.9204492747618408	STD	0.3236390806911382	0	10	0	0.94050964505478	
47	0.5764771347969846	0.9306369200322399	STD	0.26090291285658873	0	15	0	0.921533016497697	
48	0.6001695919630531	0.9436531031548717	STD	0.09095251429144913	0	15	1	0.8185532279689329	
49	0.5600944622629316	0.9598293649607524	STD	0.3987368808375731	0	13	0	0.9155596282916391	
50	0.676757136993029	0.9547977108106617	STD	0.8764344060920817	0	12	0	0.784830782792555	
51	0.7136194046106153	0.9998054959685726	STD	0.6123494442239388	0	9	0	0.9237680435800122	
