id	x	y	type	qual	N	n_links	count	acc	
1	0.5290865972208558	0.08782825570975693	STD	0.9118159234428673	0	18	0	0.8628219678968583	
2	0.5301822646847826	0.10720123054485474	STD	0.8198470558776942	0	18	0	0.9372811101119495	
3	0.5333754021576235	0.11316317727647134	STD	0.6869876036317926	0	18	1	0.8581530278892684	
4	0.5228257638719125	0.1527978029111725	STD	0.4633062834784303	0	17	17	0.9292050220691377	
5	0.5110057050013014	0.18322738970304364	STD	0.3476869732245986	0	19	171	0.8020710951701256	
6	0.46055093200691144	0.23803676739353677	STD	0.3448480829146987	0	15	0	0.9113525406959232	
7	0.49049816672070146	0.0769888854245772	STD	0.2987659297565115	0	16	0	0.8992469581101004	
8	0.5243639373822653	0.14811813155714765	STD	0.3445075408215752	0	18	4	0.8366760449292902	
9	0.4372574223741947	0.2995079543610299	STD	0.8635713419988968	0	16	22	0.9180651845514121	
10	0.41937970228563354	0.33373740205414487	STD	0.08136589492732016	0	15	0	0.7368649388822374	
11	0.4998163145722239	0.3654513890156738	STD	0.12291682449970476	0	15	0	0.7760092350915088	
12	0.515877597084288	0.3934792280858458	STD	0.9917224739769259	0	12	0	0.8895115164349646	
13	0.527761674424959	0.4273044524055435	STD	0.703811635856707	0	11	0	0.9350074625446472	
14	0.5279485391483765	0.45960239084181165	STD	0.34945978511143205	0	12	0	0.8877717773027817	
15	0.5178388115657108	0.47324318956320754	STD	0.9284706328021035	0	12	0	0.898331548272054	
16	0.4983862803694047	0.5086814241359012	STD	0.6802509773894034	0	11	0	0.9212770913046435	
17	0.19045354636733625	0.002995199780724391	STD	0.011375825262456285	0	4	0	0.6717451666999068	
18	0.260845314655781	0.09852695010641736	STD	0.817595176495939	0	7	0	0.9694119156770612	
19	0.23158108780837086	0.14021317238405023	STD	0.8658940433246223	0	8	0	0.8938598177241119	
20	0.2801200648305022	0.15889412442380177	STD	0.5236223422776529	0	8	0	0.9259455395320602	
21	0.23191891500510464	0.15860984189908572	STD	0.6756390543480137	0	8	0	0.9576049911977305	
22	0.24223756772992455	0.18442460012929646	STD	0.3951853092038242	0	7	0	0.8728322068150005	
23	0.368004880062751	0.2085094845428714	STD	0.35325068668910475	0	17	0	0.8749129629204353	
24	0.3719839740227433	0.2215652327591495	STD	0.2891871333822966	0	17	0	0.8802111066447982	
25	0.3455553328417463	0.2744769879628167	STD	0.15499764613776001	0	15	170	0.7772324483552476	
26	0.44093575929207557	0.3712978642887976	STD	0.39310822999243755	0	15	0	0.9260518651462631	
27	0.36967671375721445	0.41015518237073767	STD	0.4197375040256164	0	14	7	0.9173991207060083	
28	0.1573274485692997	0.4835700453482871	STD	0.009339810259499037	0	2	35	0.66397507095659	
29	0.36716528647906305	0.4179604961228007	STD	0.6238242212923724	0	13	15	0.9174085499788692	
30	0.22100419841716157	0.4019146525885682	STD	0.11038443230640516	0	5	195	0.7586328243491315	
31	0.47787268628758284	0.5480021666943438	STD	0.9742568867953421	0	11	0	0.899798755612431	
32	0.46676331894608003	0.6284350713290916	STD	0.33437804136915306	0	7	0	0.860616405655421	
33	0.4608416104655608	0.7277137825604496	STD	0.8538664337579978	0	7	0	0.9670589042116824	
34	0.4626107695368043	0.8130296791693479	STD	0.9593393572476228	1	15	4770	0.957968491483159	
35	0.41096732927400903	0.7751332799821633	STD	0.33555042883075825	0	12	1	0.973594641122417	
36	0.28631860993830643	0.7727157794916976	STD	0.9109808938458701	1	9	3873	0.9801456170496159	
37	0.2593266062207844	0.7914395937162324	STD	0.5759637964529283	64	11	1830	0.98158494745404	
38	0.22221233076092273	0.8261440423391756	STD	0.27261418396337844	8	10	1046	0.9790158656954853	
39	0.1527652674630883	0.8358499459600879	STD	0.3796333475737681	29	10	2142	0.9793168514037875	
40	0.28962421229098206	0.869035900942634	STD	0.6583103469596074	0	9	1027	0.982796830195391	
41	0.3153375768362312	0.8870629299068465	STD	0.31099760358013917	0	11	5	0.9800752927019691	
42	0.38914135655596416	0.9106268739207488	STD	0.3828995035129994	0	13	5	0.9706844446422951	
43	0.48046327153884866	0.8968259831074697	STD	0.7387518374484139	0	13	124	0.907097313912455	
44	0.49826819224557845	0.9044854921625778	STD	0.9626854718061055	0	14	0	0.7477755207081633	
45	0.530170585639569	0.9121028717198222	STD	0.3361797759333913	0	15	0	0.7764104442086959	
46	0.4847793275811146	0.9204492747618408	STD	0.3563945583896966	0	10	0	0.9238007991890423	
47	0.5764771347969846	0.9306369200322399	STD	0.2646278168006744	0	15	0	0.8478756645135648	
48	0.6001695919630531	0.9436531031548717	STD	0.09292250937585678	0	15	0	0.7707378454927648	
49	0.5600944622629316	0.9598293649607524	STD	0.5457975241684465	0	13	0	0.9300467411098389	
50	0.676757136993029	0.9547977108106617	STD	0.5569152411187275	0	12	0	0.7719501546166587	
51	0.7136194046106153	0.9998054959685726	STD	0.24958344424237922	0	9	0	0.8727682182741929	
52	0.7111205214921377	0.9245728367440629	STD	0.4520386385453323	0	11	0	0.9166315846765141	
53	0.7026486286056469	0.8985914288740412	STD	0.7134455078073287	0	13	0	0.9265035454970509	
54	0.6841337084613773	0.8734880730081942	STD	0.7703298345458645	0	15	0	0.9728698982392276	
55	0.7487391586823343	0.8203755982229649	STD	0.24992897036144335	0	12	0	0.8562053061810027	
56	0.6913128608098928	0.8026145346104842	STD	0.4603352556144227	0	18	0	0.8968942604113052	
57	0.7062995413951377	0.7555676817559628	STD	0.14394664446581995	0	15	0	0.7858907424086264	
58	0.6946833467470882	0.6969819624143379	STD	0.21631779000067208	0	14	0	0.7580645554781605	
59	0.7445355675199029	0.6959235961593058	STD	0.17604698600143776	0	8	0	0.7977533671152599	
60	0.7473714992321001	0.650423921638075	STD	0.7110438107856141	0	7	0	0.890166234732982	
61	0.7721569420072685	0.624518859745052	STD	0.07567897188361417	0	11	0	0.7477483792954783	
62	0.8472347325369116	0.5978493123203564	STD	0.4051679956836882	0	8	0	0.8337263682971644	
63	0.6209223901931383	0.862215538216282	EXIT	0.4474220705082763	0	11	4766	0.9587823474485475	
64	0.6867054774731324	0.6640745017298447	EXIT	0.540031124759397	0	8	0	0.8042929650505801	
65	0.7439150209175545	0.6185191430027415	EXIT	0.03636106924449978	0	8	0	0.7151819636324873	
66	0.8022264606500168	0.6031697550197176	EXIT	0.4199928094824319	0	7	0	0.9397879288270061	
67	0.7063966504933027	0.6299630166307487	EXIT	0.43878663681524777	0	8	0	0.8359776164705655	
68	0.6461870198678478	0.09215924135885288	EXIT	0.7702854770980643	0	16	44	0.8195817152526139	
69	0.6634258961832257	0.1619477070633198	EXIT	0.39636560247129626	0	16	7	0.6986823082557584	
70	0.7037625067289622	0.06778424955955283	EXIT	0.5159289867634191	0	12	0	0.9266747077173868	
71	0.6987624479386872	0.18315924981954215	EXIT	0.945685710747133	0	13	138	0.8843017453824034	
72	0.6538685441834395	0.0001945040314274314	STD	0.46832081342422716	0	11	0	0.8944323812562326	
73	0.559825411665789	0.03740877169667725	STD	0.2107206949195335	0	16	0	0.847854897632521	
74	0.576153581988845	0.000263010258388662	STD	0.9594461182852589	0	16	0	0.9136532410689991	
75	0.6133145736295614	0.024517878037257763	STD	0.11595880141919923	0	17	0	0.7240272189610976	
76	0.6463688669273957	0.03557925245900701	STD	0.5251407993291719	0	16	0	0.7065559619419636	
77	0.6875197664588574	0.02368811010106969	STD	0.9479520727545445	0	13	0	0.9234945146718209	
78	0.7032177008976098	0.0027391257024041026	STD	0.5781752691966919	0	11	0	0.6835063111802371	
79	0.0	0.8063540503897151	ENTRY	0.0	0	3	1036	0.8693974765946282	
80	0.0	0.6117771181244798	ENTRY	0.0	0	3	1038	0.7124639813131194	
81	0.0	0.7318845262384512	ENTRY	0.0	0	3	1060	0.8685329830584018	
82	0.0	0.8186372833480788	ENTRY	0.0	0	3	1010	0.8701300333347044	
83	0.0	0.9253920143363654	ENTRY	0.0	1	3	1101	0.8695150819884302	
