id	type	l1	l2	friction	risk	count	acc	
1	FAST	1	2	0.02151630826214646	0.0	0	68.75966944588882	
2	FAST	1	3	0.027987052819351734	0.0	0	50.23109719834731	
3	FAST	1	4	0.07302656972007415	0.0	0	19.089858499268427	
4	FAST	1	5	0.10800269310982086	0.0	0	11.978230878193598	
5	FAST	1	6	0.2005826597473596	0.0	0	6.2969700801798565	
6	FAST	1	7	0.05791240055316788	0.0	0	31.081858390782635	
7	FAST	1	8	0.06855335822514483	0.0	0	20.4533178640631	
8	FAST	1	68	0.36490858423453987	0.048	0	7.530337426062219	
9	FAST	1	69	0.40115801759656244	0.048	0	5.473614321061846	
10	FAST	1	70	0.423550267947518	0.048	0	4.532562518033989	
11	FAST	1	71	0.44235053412726005	0.048	0	4.234107931604431	
12	FAST	1	72	0.28733633203502157	0.0	0	6.393315843231419	
13	FAST	1	73	0.1906077266698771	0.0	0	20.08020839261723	
14	FAST	1	74	0.20210142113627694	0.0	0	10.894087956255275	
15	FAST	1	75	0.2630703980821981	0.0	0	10.31457957622955	
16	FAST	1	76	0.3008008736105855	0.0	0	7.3256552687407135	
17	FAST	1	77	0.3450902934942693	0.0	0	5.279226337750743	
18	FAST	1	78	0.36284036573475764	0.0	0	4.446449703627365	
19	FAST	2	3	0.007516752227496343	0.0	0	205.36272933994002	
20	FAST	2	4	0.05255626523813813	0.0	0	27.81982378916402	
21	FAST	2	5	0.08753238084772358	0.0	0	16.2880219483395	
22	FAST	2	6	0.18130277439888826	0.0	0	7.241030772797795	
23	FAST	2	7	0.06458409111532147	0.0	0	25.589453807926944	
24	FAST	2	8	0.04808305763328943	0.0	0	31.123257246272424	
25	FAST	2	23	0.24993272053144797	0.0	133	5.071592369577577	
26	FAST	2	68	0.36470401260312413	0.048	4	7.634812593482127	
27	FAST	2	69	0.391780317504476	0.048	6	6.559381727161233	
28	FAST	2	70	0.4257275325971185	0.048	0	4.588302959581139	
29	FAST	2	71	0.43263050137245695	0.048	123	3.951892284191428	
30	FAST	2	72	0.3002858035948819	0.0	0	5.515326710878814	
31	FAST	2	73	0.2035572098999793	0.0	0	15.647540831644939	
32	FAST	2	74	0.21505090436637914	0.0	0	8.862212850535796	
33	FAST	2	75	0.2760198696420584	0.0	0	8.2880736771291	
34	FAST	2	76	0.3137503451704458	0.0	0	6.83221093638336	
35	FAST	2	77	0.3580397650541296	0.0	0	4.840431041466573	
36	FAST	3	4	0.04596140765847902	0.0	0	30.912048237979274	
37	FAST	3	5	0.08093752715814509	0.0	0	16.3345560048465	
38	FAST	3	6	0.18231210638901338	0.0	0	7.491233464317272	
39	FAST	3	7	0.06852057262560743	0.0	0	23.0080313032088	
40	FAST	3	8	0.04148820394371095	0.0	0	36.49167759539878	
41	FAST	3	23	0.253869190371492	0.0	368	4.3869472235755795	
42	FAST	3	68	0.3624783762095865	0.048	3	7.748376804476146	
43	FAST	3	69	0.3866275625916361	0.048	65	6.086653729815932	
44	FAST	3	70	0.424054534998753	0.048	1	4.352767264156714	
45	FAST	3	71	0.42731742112785376	0.048	299	3.4416278672767615	
46	FAST	3	72	0.30422229677540974	0.0	0	5.794847015335552	
47	FAST	3	73	0.20749369141026527	0.0	0	13.824458908539519	
48	FAST	3	74	0.2189873742064232	0.0	0	8.390177412833456	
49	FAST	3	75	0.27995636282258624	0.0	0	8.511172979517614	
50	FAST	3	76	0.3176868383509737	0.0	0	6.532975987201192	
51	FAST	3	77	0.36197625823465746	0.0	0	4.921480509141563	
52	FAST	4	5	0.03612179881582182	0.0	0	40.66680640484907	
53	FAST	4	6	0.131309053093839	0.0	0	11.54969902168522	
54	FAST	4	7	0.11268187659387058	0.0	0	14.346255264739828	
55	FAST	4	8	0.007503043583361338	0.0	0	269.3616534021976	
56	FAST	4	9	0.19906910328632327	0.0	2	5.599848937722538	
57	FAST	4	23	0.20219244902298494	0.0	0	6.610214750261125	
58	FAST	4	24	0.1883962275027891	0.0	0	6.064317585809745	
59	FAST	4	68	0.38518730849483807	0.048	0	6.278397100966707	
60	FAST	4	69	0.38862564188147486	0.048	0	6.4518245319393435	
61	FAST	4	71	0.42626530464684514	0.048	2	4.387916108030099	
62	FAST	4	73	0.25165497981820595	0.0	0	8.500522864479722	
63	FAST	4	74	0.26314868595484764	0.0	0	5.8375496851889705	
64	FAST	4	75	0.32411765123052694	0.0	0	5.96269022120574	
65	FAST	4	76	0.36184812675891437	0.0	0	5.261864311163609	
66	FAST	5	6	0.09695465406038882	0.0	0	16.082324085492324	
67	FAST	5	7	0.1480079633072034	0.0	0	10.648607137827451	
68	FAST	5	8	0.04282913807685543	0.0	0	35.275379633845034	
69	FAST	5	9	0.1647147042528731	0.0	1	7.986721237998332	
70	FAST	5	10	0.20580158024837855	0.0	1	6.196458972315799	
71	FAST	5	11	0.315176425388388	0.0	1	4.564590094025604	
72	FAST	5	23	0.1678380499895348	0.0	0	7.33924642399997	
73	FAST	5	24	0.1540418323594195	0.0	11	7.969879013615341	
74	FAST	5	25	0.21818540685428356	0.0	1763	2.7618056804593	
75	FAST	5	68	0.41072317596004826	0.048	64	5.086084249637977	
76	FAST	5	69	0.4016265693558544	0.048	524	4.718953905951684	
77	FAST	5	71	0.4354848530175842	0.048	1178	2.643278584871199	
78	FAST	5	73	0.2869810937621032	0.0	0	5.821951386607127	
79	FAST	5	74	0.2984747765582611	0.0	0	4.565484525499332	
80	FAST	5	75	0.3594437418339404	0.0	0	4.937920023056123	
81	FAST	6	7	0.22348282140222536	0.0	0	5.897087002858313	
82	FAST	6	8	0.1367366608602571	0.0	0	10.463958657998313	
83	FAST	6	9	0.07023925303818712	0.0	0	19.130450831048737	
84	FAST	6	10	0.11132612125353132	0.0	0	11.503220973562392	
85	FAST	6	11	0.2207009547232989	0.0	0	7.555140209506885	
86	FAST	6	12	0.25762382228263525	0.0	0	5.735091113187194	
87	FAST	6	23	0.1142018866986697	0.0	0	11.912185774942646	
88	FAST	6	24	0.1001154807239066	0.0	0	13.697124817148794	
89	FAST	6	25	0.16454923189317652	0.0	0	9.002676362449932	
90	FAST	6	26	0.15947391760864105	0.0	0	7.7361908458151465	
91	FAST	7	8	0.10798518774699241	0.0	0	15.193319132197166	
92	FAST	7	23	0.2485729428477388	0.0	0	5.472429029453826	
93	FAST	7	24	0.2631165461086946	0.0	4	4.81708194088314	
94	FAST	7	68	0.40415430617655823	0.048	0	5.2236942400096975	
95	FAST	7	69	0.4403988038214797	0.048	4	3.905595534128861	
96	FAST	7	72	0.25068690991330783	0.0	0	5.081627822696404	
97	FAST	7	73	0.15395831621840525	0.0	0	14.47218640843967	
98	FAST	7	74	0.16545201068480506	0.0	0	9.392698618240923	
99	FAST	7	75	0.22642097596048436	0.0	0	8.046126609766564	
100	FAST	7	76	0.26415145148887176	0.0	0	5.555209054189908	
101	FAST	8	9	0.20593583471103105	0.0	11	5.826446321788494	
102	FAST	8	23	0.20905918044769273	0.0	19	5.7583951061342376	
103	FAST	8	24	0.19526296281757746	0.0	143	5.738058420914964	
104	FAST	8	68	0.381788758681206	0.048	6	5.970774699137976	
105	FAST	8	69	0.3874760334580042	0.048	67	5.7405861045759545	
106	FAST	8	71	0.4256121061407696	0.048	99	4.260265867047517	
107	FAST	8	72	0.34401116178742613	0.0	0	4.396938111376228	
108	FAST	8	73	0.2472825797627654	0.0	0	8.76589963380359	
109	FAST	8	74	0.25877625866884274	0.0	0	6.321259346975871	
110	FAST	8	75	0.3197452278346027	0.0	0	5.725885812816607	
111	FAST	8	76	0.3574757033629901	0.0	0	5.232790758538947	
112	FAST	9	10	0.042910483552879006	0.0	0	33.72375137018308	
113	FAST	9	11	0.15228532869288847	0.0	0	12.944575915637996	
114	FAST	9	12	0.18920818458198294	0.0	0	8.895849729860128	
115	FAST	9	13	0.22995744825989792	0.0	0	6.001260775464641	
116	FAST	9	14	0.25331769753086336	0.0	0	5.053323539304872	
117	FAST	9	15	0.24757465090643752	0.0	0	5.011364900467976	
118	FAST	9	23	0.17921559053844677	0.0	0	9.575011018440463	
119	FAST	9	24	0.16512918067360308	0.0	0	10.717796838773104	
120	FAST	9	25	0.17977600333395677	0.0	0	11.27230740019045	
121	FAST	9	26	0.09105827990798876	0.0	0	16.503486236719592	
122	FAST	9	27	0.17848346569391205	0.0	0	8.172084655900816	
123	FAST	9	29	0.1855811706559399	0.0	14	7.650128038782629	
124	FAST	10	11	0.10937484514000945	0.0	0	14.090760208375526	
125	FAST	10	12	0.1462977010291039	0.0	0	10.098566943901039	
126	FAST	10	13	0.18704696470701887	0.0	0	7.305672994858433	
127	FAST	10	14	0.21040721786806496	0.0	0	6.042157229454393	
128	FAST	10	15	0.2046641673535585	0.0	0	6.070112837640801	
129	FAST	10	16	0.20323672949747695	0.0	0	5.2103217665775166	
130	FAST	10	23	0.213153638132304	0.0	0	7.875979630821017	
