mean_cap	var_cap	max_cap	min_cap	mean_n_loc	var_n_loc	max_n_loc	min_n_loc	mean_n_link	var_n_link	max_n_link	min_n_link	mean_n_contacts	var_n_contacts	max_n_contacts	min_n_contacts	mean_n_steps	var_n_steps	max_n_steps	min_n_steps	mean_freq_plan	var_freq_plan	max_freq_plan	min_freq_plan	mean_acc_c	var_acc_c	max_acc_c	min_acc_c	mean_acc_l	var_acc_l	max_acc_l	min_acc_l	mean_n_plan	var_n_plan	max_n_plan	min_n_plan	mean_acc_c_m	var_acc_c_m	max_acc_c_m	min_acc_c_m	mean_acc_l_m	var_acc_l_m	max_acc_l_m	min_acc_l_m	mean_n_loc_m	var_n_loc_m	max_n_loc_m	min_n_loc_m	mean_n_link_m	var_n_link_m	max_n_link_m	min_n_link_m	mean_count	var_count	max_count	min_count	mean_traffic	var_traffic	max_traffic	min_traffic	mean_N	var_N	max_N	min_N	n_migrants	n_arrived	n_dead	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.5	0.5	1.0	0.0	0.9268572124718903	0.005565008735519239	0.9796066614525174	0.8741077634912632	1.0	0.0	1.0	1.0	7.0	18.0	10.0	4.0	7.5	24.5	11.0	4.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.024096385542168676	0.023802527181898327	1.0	0.0	2	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.6521739130434783	0.23715415019762845	1.0	0.0	0.9453495315073773	0.001634318978384286	1.0	0.8496022345958856	0.9832096032738498	0.0033698072149377367	1.0	0.7261934855868574	11.173913043478262	8.695652173913045	17.0	6.0	11.956521739130435	24.498023715415023	26.0	5.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.20481927710843373	0.9697325888921539	7.0	0.0	23	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7692307692307693	0.18218623481781376	1.0	0.0	0.932338049091889	0.0006572889941553677	0.9928296941035882	0.8718958203776084	1.228980470450796	0.45686768379755055	4.133558479165134	0.7594048866134505	24.615384615384617	113.92712550607288	42.0	6.0	19.871794871794872	92.48313090418354	47.0	6.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.3373493975903614	1.6165148398471936	7.0	0.0	39	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	1.6515151515151516	3.153613053613054	7.0	0.0	0.9227940181691084	0.0009066213652308018	1.0	0.844414018932982	1.277813206653465	0.18596889980370773	3.033046503113499	0.682485641272305	43.93939393939394	410.05780885780877	76.0	9.0	45.09090909090909	863.4993006993009	123.0	11.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.42168674698795183	2.515133705553923	10.0	0.0	66	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	2.4526315789473685	5.505711086226204	10.0	0.0	0.9195979736527758	0.00028060363911662235	1.0	0.8603925251513704	1.74500632496731	0.42959793112415107	4.011341549089655	0.682485641272305	65.72631578947369	459.81791713325856	83.0	5.0	111.70526315789473	3493.9334826427757	253.0	7.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.43373493975903615	2.492506611813106	9.0	0.0	95	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.6491228070175437	5.486415152926565	9.0	0.0	0.9330229445674809	0.00010138234062213316	0.9625962515498969	0.9062821264417685	2.408461719835266	0.30223665038133996	3.8455428824541387	0.649483568290847	78.46491228070175	176.6049526471045	83.0	7.0	247.08771929824562	6932.381617761217	365.0	6.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.46987951807228917	1.5448133999412283	5.0	0.0	114	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.601503759398496	4.105149236728184	9.0	0.0	0.9396609280706997	7.341155699239462e-5	0.9535875550559945	0.9099550741558271	2.6276994440962236	0.16124613096000973	3.87793032412753	1.0	80.9172932330827	72.47038049669672	83.0	7.0	346.74436090225566	6232.312941444516	429.0	9.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.5783132530120482	2.3444019982368496	7.0	0.0	133	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.7551020408163267	3.9670114621190953	9.0	1.0	0.9438673071044553	5.6826851796740375e-5	0.9557118410289124	0.914874284722677	2.6984002900000896	0.14717938802030323	5.492945086071247	1.7731354792761211	82.29931972789116	10.265958438169735	83.0	54.0	405.0748299319728	3721.4395676078657	452.0	105.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.5060240963855421	2.253012048192771	11.0	0.0	147	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	3.897590361445783	4.56520627966411	14.0	0.0	0.9465036122955774	6.335752608561741e-5	1.0	0.9154478963431988	2.699579006530367	0.08834960358973341	3.32612584311894	0.9828633750313541	81.13855421686748	86.73826213946678	83.0	7.0	423.3433734939759	5824.857137641468	465.0	7.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.7590361445783133	4.770496620628856	16.0	0.0	166	0	0	
NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	4.042553191489362	3.8056661736261224	10.0	0.0	0.9469007989308548	0.00010347286613897355	0.9973664548782886	0.8739002290354158	2.7749198633864984	0.1260210448390414	5.1402780294456	1.0	80.86702127659575	106.59719535783381	83.0	5.0	433.7340425531915	6513.800546137208	468.0	7.0	NaN	NaN	-Inf	Inf	NaN	NaN	-Inf	Inf	0.9397590361445783	7.154863355862474	18.0	0.0	188	0	0	
