id	x	y	type	qual	N	n_links	count	acc	
1	0.5290865972208558	0.08782825570975693	STD	0.08405541023994068	0	18	0	0.8512026113816625	
2	0.5301822646847826	0.10720123054485474	STD	0.20640095659950575	0	18	0	0.9301325528336689	
3	0.5333754021576235	0.11316317727647134	STD	0.6786590011545917	0	18	111	0.949769205261829	
4	0.5228257638719125	0.1527978029111725	STD	0.4970798188855543	0	17	30	0.9545775134971795	
5	0.5110057050013014	0.18322738970304364	STD	0.8642713873142001	0	19	2379	0.9713623828311136	
6	0.46055093200691144	0.23803676739353677	STD	0.7651644466195953	0	15	0	0.9478917482937436	
7	0.49049816672070146	0.0769888854245772	STD	0.37495789569499505	0	16	10	0.8718468923764154	
8	0.5243639373822653	0.14811813155714765	STD	0.5919594028330168	0	18	22	0.9694764597068843	
9	0.4372574223741947	0.2995079543610299	STD	0.07456564420482392	0	16	0	0.8584922785924619	
10	0.41937970228563354	0.33373740205414487	STD	0.42954507595522107	0	15	0	0.9557364654016265	
11	0.4998163145722239	0.3654513890156738	STD	0.38483883033928223	0	15	0	0.919883759337016	
12	0.515877597084288	0.3934792280858458	STD	0.32214395241758287	0	12	0	0.9572571477160096	
13	0.527761674424959	0.4273044524055435	STD	0.8098842535364628	0	11	0	0.9667834362981569	
14	0.5279485391483765	0.45960239084181165	STD	0.7557231704937799	0	12	0	0.9683304877131739	
15	0.5178388115657108	0.47324318956320754	STD	0.7179223836651469	0	12	0	0.9699018119359819	
16	0.4983862803694047	0.5086814241359012	STD	0.14270583825608996	0	11	0	0.8916524058116295	
17	0.19045354636733625	0.002995199780724391	STD	0.5965641055533086	1	5	79	0.9726919477274021	
18	0.260845314655781	0.09852695010641736	STD	0.054792612707079025	0	7	0	0.9000508389603387	
19	0.23158108780837086	0.14021317238405023	STD	0.0030732864886138245	7	9	336	0.8709044448168061	
20	0.2801200648305022	0.15889412442380177	STD	0.8742540376764238	1	8	66	0.973877721939127	
21	0.23191891500510464	0.15860984189908572	STD	0.2528973247140416	8	9	613	0.967891143065919	
22	0.24223756772992455	0.18442460012929646	STD	0.15778234471255304	5	8	762	0.9149263947379114	
23	0.368004880062751	0.2085094845428714	STD	0.8708691572229428	0	17	1703	0.9498197888766509	
24	0.3719839740227433	0.2215652327591495	STD	0.5356756623313135	0	17	34	0.9326530412037352	
25	0.3455553328417463	0.2744769879628167	STD	0.4745076064603144	0	15	818	0.9756766194708966	
26	0.44093575929207557	0.3712978642887976	STD	0.058525917416142326	0	15	0	0.8290327378570643	
27	0.36967671375721445	0.41015518237073767	STD	0.5985841360315218	0	14	0	0.9751531338494107	
28	0.1573274485692997	0.4835700453482871	STD	0.4621247121155949	1	4	144	0.9638150409863444	
29	0.36716528647906305	0.4179604961228007	STD	0.9895106056875502	0	13	0	0.8940191686309342	
30	0.22100419841716157	0.4019146525885682	STD	0.14870757490926034	8	6	813	0.9204738009136154	
31	0.47787268628758284	0.5480021666943438	STD	0.3662826707446427	0	11	0	0.9350908686199093	
