id	type	l1	l2	friction	risk	count	acc	
1	FAST	1	2	0.02151630826214646	0.0	0	59.95172229923478	
2	FAST	1	3	0.027987052819351734	0.0	0	44.40289636193751	
3	FAST	1	4	0.07302656972007415	0.0	0	16.172693889904455	
4	FAST	1	5	0.10800269310982086	0.0	0	10.667574209109889	
5	FAST	1	6	0.2005826597473596	0.0	0	5.3004693463455785	
6	FAST	1	7	0.05791240055316788	0.0	0	29.360141636680936	
7	FAST	1	8	0.06855335822514483	0.0	0	18.078085925505192	
8	FAST	1	68	0.36490858423453987	0.048	0	6.3799752847353615	
9	FAST	1	69	0.40115801759656244	0.048	0	4.332259914469551	
10	FAST	1	70	0.423550267947518	0.048	0	3.4860649973453026	
11	FAST	1	71	0.44235053412726005	0.048	0	3.205705177139734	
12	FAST	1	72	0.28733633203502157	0.0	0	5.606123384068498	
13	FAST	1	73	0.1906077266698771	0.0	0	17.234662021646937	
14	FAST	1	74	0.20210142113627694	0.0	0	9.58523173563205	
15	FAST	1	75	0.2630703980821981	0.0	0	8.58441691140745	
16	FAST	1	76	0.3008008736105855	0.0	0	6.148639738601161	
17	FAST	1	77	0.3450902934942693	0.0	0	4.212140357907147	
18	FAST	1	78	0.36284036573475764	0.0	0	3.6704515193230804	
19	FAST	2	3	0.007516752227496343	0.0	0	176.68837623815148	
20	FAST	2	4	0.05255626523813813	0.0	0	25.126139576120163	
21	FAST	2	5	0.08753238084772358	0.0	0	13.942864100644336	
22	FAST	2	6	0.18130277439888826	0.0	0	5.61214683829659	
23	FAST	2	7	0.06458409111532147	0.0	0	21.333052860518194	
24	FAST	2	8	0.04808305763328943	0.0	0	26.96288233361275	
25	FAST	2	23	0.24993272053144797	0.0	0	4.354901547978454	
26	FAST	2	68	0.36470401260312413	0.048	0	6.6700737643533135	
27	FAST	2	69	0.391780317504476	0.048	0	4.7250381146730325	
28	FAST	2	70	0.4257275325971185	0.048	0	3.5204928823969373	
29	FAST	2	71	0.43263050137245695	0.048	0	2.9537712555809126	
30	FAST	2	72	0.3002858035948819	0.0	0	4.907938204424798	
31	FAST	2	73	0.2035572098999793	0.0	0	12.93204857075579	
32	FAST	2	74	0.21505090436637914	0.0	0	7.616719425636259	
33	FAST	2	75	0.2760198696420584	0.0	0	7.223281101976004	
34	FAST	2	76	0.3137503451704458	0.0	0	5.439719524328056	
35	FAST	2	77	0.3580397650541296	0.0	0	3.558621945324642	
36	FAST	3	4	0.04596140765847902	0.0	0	27.191074758041825	
37	FAST	3	5	0.08093752715814509	0.0	0	14.854140890423812	
38	FAST	3	6	0.18231210638901338	0.0	0	6.084527530595479	
39	FAST	3	7	0.06852057262560743	0.0	0	18.956164329577497	
40	FAST	3	8	0.04148820394371095	0.0	0	31.765935332315216	
41	FAST	3	23	0.253869190371492	0.0	111	4.107054553181352	
42	FAST	3	68	0.3624783762095865	0.048	90	6.200273170927325	
43	FAST	3	69	0.3866275625916361	0.048	20	4.8760595433894105	
44	FAST	3	70	0.424054534998753	0.048	0	3.321911759410027	
45	FAST	3	71	0.42731742112785376	0.048	1	3.531462573656524	
46	FAST	3	72	0.30422229677540974	0.0	0	4.47215907612273	
47	FAST	3	73	0.20749369141026527	0.0	0	11.525041975310925	
48	FAST	3	74	0.2189873742064232	0.0	0	6.977942611047116	
49	FAST	3	75	0.27995636282258624	0.0	0	6.4119059533286205	
50	FAST	3	76	0.3176868383509737	0.0	0	5.602722253394783	
51	FAST	3	77	0.36197625823465746	0.0	0	3.993204072077672	
52	FAST	4	5	0.03612179881582182	0.0	0	34.782229441850795	
53	FAST	4	6	0.131309053093839	0.0	0	9.033140641724223	
54	FAST	4	7	0.11268187659387058	0.0	0	11.917326216045698	
55	FAST	4	8	0.007503043583361338	0.0	0	241.00315144451827	
56	FAST	4	9	0.19906910328632327	0.0	0	4.941428517147238	
57	FAST	4	23	0.20219244902298494	0.0	28	4.880787778553709	
58	FAST	4	24	0.1883962275027891	0.0	2	5.465399218589101	
59	FAST	4	68	0.38518730849483807	0.048	16	5.133733840910324	
60	FAST	4	69	0.38862564188147486	0.048	14	5.115296032022822	
61	FAST	4	71	0.42626530464684514	0.048	0	3.4434820828830626	
62	FAST	4	73	0.25165497981820595	0.0	0	6.84353548786143	
63	FAST	4	74	0.26314868595484764	0.0	0	4.6411932426700755	
64	FAST	4	75	0.32411765123052694	0.0	0	4.7932714970511086	
65	FAST	4	76	0.36184812675891437	0.0	0	4.392339841467167	
66	FAST	5	6	0.09695465406038882	0.0	0	14.00539581291352	
67	FAST	5	7	0.1480079633072034	0.0	0	9.273959569573119	
68	FAST	5	8	0.04282913807685543	0.0	0	30.558501929239753	
69	FAST	5	9	0.1647147042528731	0.0	0	6.919279395018835	
70	FAST	5	10	0.20580158024837855	0.0	0	4.807065247815909	
71	FAST	5	11	0.315176425388388	0.0	0	3.9643611900060356	
72	FAST	5	23	0.1678380499895348	0.0	1538	3.4389066110902125	
73	FAST	5	24	0.1540418323594195	0.0	26	6.231657536704723	
74	FAST	5	25	0.21818540685428356	0.0	818	3.425511507649935	
75	FAST	5	68	0.41072317596004826	0.048	1859	1.707352755285327	
76	FAST	5	69	0.4016265693558544	0.048	511	3.7181686784082784	
77	FAST	5	71	0.4354848530175842	0.048	9	3.3412821041805723	
78	FAST	5	73	0.2869810937621032	0.0	0	4.965237931831765	
79	FAST	5	74	0.2984747765582611	0.0	0	3.865532711655753	
80	FAST	5	75	0.3594437418339404	0.0	0	3.682519336393257	
81	FAST	6	7	0.22348282140222536	0.0	0	5.109024340221462	
82	FAST	6	8	0.1367366608602571	0.0	0	9.049319288473988	
83	FAST	6	9	0.07023925303818712	0.0	0	16.53083379491295	
84	FAST	6	10	0.11132612125353132	0.0	0	9.73263706322807	
85	FAST	6	11	0.2207009547232989	0.0	0	6.479017568492132	
86	FAST	6	12	0.25762382228263525	0.0	0	4.940742019274224	
87	FAST	6	23	0.1142018866986697	0.0	0	11.204578420522914	
88	FAST	6	24	0.1001154807239066	0.0	0	11.144110557124316	
89	FAST	6	25	0.16454923189317652	0.0	0	7.314792254963906	
90	FAST	6	26	0.15947391760864105	0.0	0	6.636316320708748	
91	FAST	7	8	0.10798518774699241	0.0	0	13.291785075530532	
92	FAST	7	23	0.2485729428477388	0.0	6	4.745775022402954	
93	FAST	7	24	0.2631165461086946	0.0	4	3.766650847861077	
94	FAST	7	68	0.40415430617655823	0.048	5	4.042197996261721	
95	FAST	7	69	0.4403988038214797	0.048	5	2.973919320437137	
96	FAST	7	72	0.25068690991330783	0.0	0	4.332842730237627	
97	FAST	7	73	0.15395831621840525	0.0	0	12.457869091806762	
98	FAST	7	74	0.16545201068480506	0.0	0	8.104078247053664	
99	FAST	7	75	0.22642097596048436	0.0	0	6.760375468634265	
100	FAST	7	76	0.26415145148887176	0.0	0	5.575526663302211	
101	FAST	8	9	0.20593583471103105	0.0	0	4.953438945943168	
102	FAST	8	23	0.20905918044769273	0.0	20	5.068432558840236	
103	FAST	8	24	0.19526296281757746	0.0	2	5.532556187911419	
104	FAST	8	68	0.381788758681206	0.048	18	5.5638008835778185	
105	FAST	8	69	0.3874760334580042	0.048	4	4.796143219873911	
106	FAST	8	71	0.4256121061407696	0.048	0	3.8771733861687556	
107	FAST	8	72	0.34401116178742613	0.0	0	3.5039163064056975	
108	FAST	8	73	0.2472825797627654	0.0	0	7.782923804760837	
109	FAST	8	74	0.25877625866884274	0.0	0	5.25412218278111	
110	FAST	8	75	0.3197452278346027	0.0	0	5.0425976788063664	
111	FAST	8	76	0.3574757033629901	0.0	0	4.318468789366241	
112	FAST	9	10	0.042910483552879006	0.0	0	28.62459633807872	
113	FAST	9	11	0.15228532869288847	0.0	0	10.672244063193805	
114	FAST	9	12	0.18920818458198294	0.0	0	7.453912436708413	
115	FAST	9	13	0.22995744825989792	0.0	0	5.359445520087505	
116	FAST	9	14	0.25331769753086336	0.0	0	4.5509598493751255	
117	FAST	9	15	0.24757465090643752	0.0	0	4.347002316877862	
118	FAST	9	23	0.17921559053844677	0.0	0	7.798413962610364	
119	FAST	9	24	0.16512918067360308	0.0	0	9.257503215074054	
120	FAST	9	25	0.17977600333395677	0.0	0	9.90824875493421	
121	FAST	9	26	0.09105827990798876	0.0	0	14.966619945974658	
122	FAST	9	27	0.17848346569391205	0.0	0	7.319860744544155	
123	FAST	9	29	0.1855811706559399	0.0	0	6.542659305728281	
124	FAST	10	11	0.10937484514000945	0.0	0	11.632370462237057	
125	FAST	10	12	0.1462977010291039	0.0	0	8.698602534307197	
126	FAST	10	13	0.18704696470701887	0.0	0	6.287970529608037	
127	FAST	10	14	0.21040721786806496	0.0	0	4.97326583925559	
128	FAST	10	15	0.2046641673535585	0.0	0	4.995082335420733	
129	FAST	10	16	0.20323672949747695	0.0	0	4.1705251250599	
130	FAST	10	23	0.213153638132304	0.0	0	6.623719590472174	
131	FAST	10	24	0.199016878953885	0.0	0	7.771171562568639	
132	FAST	10	25	0.13705416535107862	0.0	0	10.571100714955765	
133	FAST	10	26	0.04814779635510974	0.0	0	27.131566000854303	
134	FAST	10	27	0.1355729938112749	0.0	0	11.351840910382194	
135	FAST	10	29	0.14267068710306088	0.0	0	10.867475508111005	
136	FAST	11	12	0.0364924262477068	0.0	0	35.970929118260294	
137	FAST	11	13	0.07678160230952209	0.0	0	15.618298467385253	
138	FAST	11	14	0.1121667443368769	0.0	0	10.265541912853235	
139	FAST	11	15	0.13120902745063714	0.0	0	9.489755028314955	
140	FAST	11	16	0.21670056307836655	0.0	0	6.632015979208361	
141	FAST	11	24	0.31300570982660975	0.0	0	3.747587653304587	
142	FAST	11	25	0.2510430001138839	0.0	0	4.415433780776182	
143	FAST	11	26	0.0629029032998397	0.0	0	18.932243327521824	
144	FAST	11	27	0.15032809297584365	0.0	0	6.985254775559468	
145	FAST	11	29	0.1574258018279521	0.0	0	6.785588565667908	
146	FAST	11	31	0.2612748846871239	0.0	0	4.313120018125189	
147	FAST	12	13	0.041186765485885346	0.0	0	31.640122167246485	
148	FAST	12	14	0.0765719114033208	0.0	0	16.665199629286107	
149	FAST	12	15	0.09561419451708102	0.0	0	13.826004600719195	
150	FAST	12	16	0.14372326122945295	0.0	0	8.307185686858098	
151	FAST	12	26	0.09403059326424705	0.0	0	13.010584684481733	
152	FAST	12	27	0.1814557907204122	0.0	0	5.9996384850589335	
153	FAST	12	29	0.18855348401219818	0.0	0	5.7623271883162905	
154	FAST	12	31	0.19481717124778766	0.0	0	5.590407364382939	
155	FAST	13	14	0.035643937421330284	0.0	0	37.15786488203519	
156	FAST	13	15	0.05468622442517113	0.0	0	23.084758438556946	
157	FAST	13	16	0.10279528335738179	0.0	0	12.586001412103172	
158	FAST	13	26	0.13496519205354798	0.0	0	9.769837244611487	
159	FAST	13	27	0.22239038950971318	0.0	0	5.692374953633219	
