id	x	y	type	qual	N	n_links	count	acc	
1	0.5290865972208558	0.08782825570975693	STD	0.8832974241081848	0	18	28	0.9710183263510511	
2	0.5301822646847826	0.10720123054485474	STD	0.6779051025003402	0	18	509	0.9719942181575362	
3	0.5333754021576235	0.11316317727647134	STD	0.5307753608825394	0	18	75	0.9283983722888619	
4	0.5228257638719125	0.1527978029111725	STD	0.4598098887145181	2	17	552	0.9700315656784788	
5	0.5110057050013014	0.18322738970304364	STD	0.0869708797410651	0	19	503	0.9123457352187834	
6	0.46055093200691144	0.23803676739353677	STD	0.410897777497333	0	15	62	0.9640214773372098	
7	0.49049816672070146	0.0769888854245772	STD	0.7056772134564344	2	16	1177	0.9452503508573357	
8	0.5243639373822653	0.14811813155714765	STD	0.1727433074484992	2	18	170	0.9460049111112413	
9	0.4372574223741947	0.2995079543610299	STD	0.00901717259252055	0	16	21	0.8706107043216224	
10	0.41937970228563354	0.33373740205414487	STD	0.17104234213537084	0	15	15	0.9354156786901227	
11	0.4998163145722239	0.3654513890156738	STD	0.7396081193158806	0	15	8	0.9607712597657317	
12	0.515877597084288	0.3934792280858458	STD	0.4619723900414958	0	12	0	0.961095580442974	
13	0.527761674424959	0.4273044524055435	STD	0.7675898546151629	0	11	0	0.9665987504651685	
14	0.5279485391483765	0.45960239084181165	STD	0.3873177759877695	0	12	0	0.9317158200211751	
15	0.5178388115657108	0.47324318956320754	STD	0.9767791976808788	0	12	0	0.9192919904082711	
16	0.4983862803694047	0.5086814241359012	STD	0.9784715744164136	0	11	1	0.9232667867599927	
17	0.19045354636733625	0.002995199780724391	STD	0.11896422112447413	16	6	591	0.9246469545037485	
18	0.260845314655781	0.09852695010641736	STD	0.515146007841695	3	7	170	0.9775016970421456	
19	0.23158108780837086	0.14021317238405023	STD	0.2639943082015497	1	11	1096	0.9074261014356545	
20	0.2801200648305022	0.15889412442380177	STD	0.5427677998642433	3	8	301	0.969543629796796	
21	0.23191891500510464	0.15860984189908572	STD	0.7734059422150115	5	11	1672	0.9502527489357904	
22	0.24223756772992455	0.18442460012929646	STD	0.5752522747710944	10	8	520	0.9718410196254444	
23	0.368004880062751	0.2085094845428714	STD	0.7991001111628344	13	17	1669	0.9799356877580288	
24	0.3719839740227433	0.2215652327591495	STD	0.6735938741675229	2	17	1012	0.9626741482359458	
25	0.3455553328417463	0.2744769879628167	STD	0.9445201788288817	4	15	397	0.9598982112098711	
26	0.44093575929207557	0.3712978642887976	STD	0.007834742686850138	0	15	3	0.8628925301463264	
27	0.36967671375721445	0.41015518237073767	STD	0.45892194694659794	0	14	4	0.9591492401866107	
28	0.1573274485692997	0.4835700453482871	STD	0.3567471954040229	0	1	0	0.9308876321109208	
29	0.36716528647906305	0.4179604961228007	STD	0.7260858407906454	0	13	0	0.879206476637989	
30	0.22100419841716157	0.4019146525885682	STD	0.03892865701920423	0	4	0	0.8551688980856467	
31	0.47787268628758284	0.5480021666943438	STD	0.4739557197190114	0	11	0	0.969538426923167	
32	0.46676331894608003	0.6284350713290916	STD	0.009830187041810934	0	7	1	0.8333601953143108	
33	0.4608416104655608	0.7277137825604496	STD	0.7674534462400933	0	7	1	0.9659203468981153	
34	0.4626107695368043	0.8130296791693479	STD	0.22440947716843418	0	15	92	0.9508466741596275	
35	0.41096732927400903	0.7751332799821633	STD	0.9953201332049324	0	12	250	0.9283159005335199	
